# This file was generated with SimpNMR v1.6.0 at 15:51:36 16-03-2026 
shift (ppm),intensity (a.u.)
-114.775957,0.000645
-114.773711,0.000645
-114.771465,0.000645
-114.769218,0.000645
-114.766972,0.000645
-114.764726,0.000645
-114.762479,0.000645
-114.760233,0.000645
-114.757987,0.000646
-114.755740,0.000646
-114.753494,0.000646
-114.751248,0.000646
-114.749001,0.000646
-114.746755,0.000646
-114.744509,0.000646
-114.742262,0.000646
-114.740016,0.000647
-114.737770,0.000647
-114.735523,0.000647
-114.733277,0.000647
-114.731031,0.000647
-114.728784,0.000647
-114.726538,0.000647
-114.724292,0.000647
-114.722045,0.000647
-114.719799,0.000648
-114.717553,0.000648
-114.715306,0.000648
-114.713060,0.000648
-114.710814,0.000648
-114.708567,0.000648
-114.706321,0.000648
-114.704075,0.000648
-114.701828,0.000649
-114.699582,0.000649
-114.697335,0.000649
-114.695089,0.000649
-114.692843,0.000649
-114.690596,0.000649
-114.688350,0.000649
-114.686104,0.000649
-114.683857,0.000650
-114.681611,0.000650
-114.679365,0.000650
-114.677118,0.000650
-114.674872,0.000650
-114.672626,0.000650
-114.670379,0.000650
-114.668133,0.000650
-114.665887,0.000651
-114.663640,0.000651
-114.661394,0.000651
-114.659148,0.000651
-114.656901,0.000651
-114.654655,0.000651
-114.652409,0.000651
-114.650162,0.000651
-114.647916,0.000652
-114.645670,0.000652
-114.643423,0.000652
-114.641177,0.000652
-114.638931,0.000652
-114.636684,0.000652
-114.634438,0.000652
-114.632192,0.000652
-114.629945,0.000653
-114.627699,0.000653
-114.625453,0.000653
-114.623206,0.000653
-114.620960,0.000653
-114.618714,0.000653
-114.616467,0.000653
-114.614221,0.000653
-114.611975,0.000654
-114.609728,0.000654
-114.607482,0.000654
-114.605236,0.000654
-114.602989,0.000654
-114.600743,0.000654
-114.598497,0.000654
-114.596250,0.000654
-114.594004,0.000655
-114.591758,0.000655
-114.589511,0.000655
-114.587265,0.000655
-114.585018,0.000655
-114.582772,0.000655
-114.580526,0.000655
-114.578279,0.000655
-114.576033,0.000656
-114.573787,0.000656
-114.571540,0.000656
-114.569294,0.000656
-114.567048,0.000656
-114.564801,0.000656
-114.562555,0.000656
-114.560309,0.000656
-114.558062,0.000657
-114.555816,0.000657
-114.553570,0.000657
-114.551323,0.000657
-114.549077,0.000657
-114.546831,0.000657
-114.544584,0.000657
-114.542338,0.000657
-114.540092,0.000658
-114.537845,0.000658
-114.535599,0.000658
-114.533353,0.000658
-114.531106,0.000658
