# This file was generated with ParaNMR v1.14.0 at 12:33:14 21-07-2026 
# Hyperfines from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/HFC/DyL1.xyz
Diamagnetic shifts from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/DIA/YL1_DIA_NMR.out
Diamagnetic reference from file /Users/mephistos/git/paranmr/examples/DyL1/DATA/DIA/tms_ref.out
T = 302.15 K
atom_label (),signal_label (),x (Å),y (Å),z (Å),A_fc_iso (ppm Å^-3),A_sd_xx (ppm Å^-3),A_sd_xy (ppm Å^-3),A_sd_xz (ppm Å^-3),A_sd_yy (ppm Å^-3),A_sd_yz (ppm Å^-3),A_sd_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_pc (ppm),δ_fc (ppm)
Dy1,,0.006857,-0.008695,0.057882,,,,,,,,,,,
O1,,-0.302027,-1.830532,-1.419955,,,,,,,,,,,
O2,,-1.421572,1.175692,-1.422290,,,,,,,,,,,
O3,,1.749501,0.631576,-1.405317,,,,,,,,,,,
O4,,0.371010,-3.709201,-2.441562,,,,,,,,,,,
O5,,-3.395665,1.573815,-2.408402,,,,,,,,,,,
O6,,3.066362,2.152547,-2.393889,,,,,,,,,,,
N1,,1.677607,-0.008754,2.131025,,,,,,,,,,,
N2,,-0.843693,-1.449175,2.132149,,,,,,,,,,,
N3,,-0.838461,1.453493,2.129045,,,,,,,,,,,
N4,,1.889226,-1.691301,0.016201,,,,,,,,,,,
N5,,-2.403829,-0.782665,0.017119,,,,,,,,,,,
N6,,0.512716,2.467123,0.016552,,,,,,,,,,,
C1,,1.388674,-1.051509,3.155166,,,,,,,,,,,
C2,,-1.602271,-0.679189,3.157230,,,,,,,,,,,
C3,,0.210929,1.728028,3.150359,,,,,,,,,,,
C4,,0.349952,-2.080411,2.724242,,,,,,,,,,,
C5,,-1.978465,0.732834,2.724694,,,,,,,,,,,
C6,,1.622671,1.340697,2.723084,,,,,,,,,,,
C7,,3.012900,-0.237982,1.554704,,,,,,,,,,,
C8,,-1.711124,-2.487906,1.551347,,,,,,,,,,,
C9,,-1.311353,2.719107,1.546985,,,,,,,,,,,
C10,,3.011522,-1.487697,0.712959,,,,,,,,,,,
C11,,-2.792311,-1.855265,0.713582,,,,,,,,,,,
C12,,-0.228617,3.340474,0.704336,,,,,,,,,,,
C13,,4.100166,-2.353457,0.609131,,,,,,,,,,,
C14,,-4.090623,-2.355398,0.616630,,,,,,,,,,,
C15,,-0.022604,4.715666,0.596268,,,,,,,,,,,
C16,,4.010931,-3.439383,-0.259915,,,,,,,,,,,
C17,,-4.988202,-1.724653,-0.243025,,,,,,,,,,,
