# This file was generated with ParaNMR v1.15.0 at 19:22:58 23-07-2026 
# T = 302.15 K
signal_label,δ_total_avg (ppm),δ_dia_avg (ppm),δ_pc_avg (ppm),δ_fc_avg (ppm),linewidth_r6_fit (ppm)
H1,-35.078780,2.828000,-37.906780,0.000000,0.361397
H10,9.746251,2.685000,7.061251,0.000000,1.505079
H11,10.370274,2.631000,7.739274,0.000000,1.464238
H12,10.029542,2.656000,7.373542,0.000000,1.483662
H13,13.536012,3.848000,9.688012,0.000000,0.335527
H14,89.258577,4.563000,84.695577,0.000000,1.584863
H15,13.752265,3.844000,9.908265,0.000000,0.335233
H16,89.917771,4.575000,85.342771,0.000000,1.603202
H17,14.003539,3.837000,10.166539,0.000000,0.330978
H18,88.705440,4.534000,84.171440,0.000000,1.554415
H19,28.436433,7.579000,20.857433,0.000000,0.088946
H2,-34.653064,2.809000,-37.462064,0.000000,0.356587
H20,23.925980,8.276000,15.649980,0.000000,0.041877
H21,25.531578,8.588000,16.943578,0.000000,0.094278
H22,28.366136,7.579000,20.787136,0.000000,0.088591
H23,23.889548,8.276000,15.613548,0.000000,0.041605
H24,25.698497,8.577000,17.121497,0.000000,0.093189
H25,28.470755,7.579000,20.891755,0.000000,0.088328
H26,23.896529,8.273000,15.623529,0.000000,0.041794
H27,25.676754,8.580000,17.096754,0.000000,0.094490
H3,-34.262451,2.801000,-37.063451,0.000000,0.359490
H4,-94.356063,3.414000,-97.770063,0.000000,0.461276
H5,-93.955217,3.416000,-97.371217,0.000000,0.458987
H6,-93.422453,3.399000,-96.821453,0.000000,0.457393
H7,-39.902861,2.406000,-42.308861,0.000000,0.325565
H8,-39.132804,2.393000,-41.525804,0.000000,0.320645
H9,-39.912144,2.406000,-42.318144,0.000000,0.325104
