# This file was generated with ParaNMR v1.14.0 at 12:33:11 21-07-2026 
shift (ppm),intensity (a.u.)
-114.238933,0.000469
-114.236693,0.000470
-114.234453,0.000470
-114.232212,0.000470
-114.229972,0.000470
-114.227731,0.000470
-114.225491,0.000470
-114.223251,0.000470
-114.221010,0.000470
-114.218770,0.000470
-114.216530,0.000470
-114.214289,0.000470
-114.212049,0.000471
-114.209809,0.000471
-114.207568,0.000471
-114.205328,0.000471
-114.203088,0.000471
-114.200847,0.000471
-114.198607,0.000471
-114.196367,0.000471
-114.194126,0.000471
-114.191886,0.000471
-114.189646,0.000471
-114.187405,0.000471
-114.185165,0.000472
-114.182925,0.000472
-114.180684,0.000472
-114.178444,0.000472
-114.176204,0.000472
-114.173963,0.000472
-114.171723,0.000472
-114.169482,0.000472
-114.167242,0.000472
-114.165002,0.000472
-114.162761,0.000472
-114.160521,0.000473
-114.158281,0.000473
-114.156040,0.000473
-114.153800,0.000473
-114.151560,0.000473
-114.149319,0.000473
-114.147079,0.000473
-114.144839,0.000473
-114.142598,0.000473
-114.140358,0.000473
-114.138118,0.000473
-114.135877,0.000474
-114.133637,0.000474
-114.131397,0.000474
-114.129156,0.000474
-114.126916,0.000474
-114.124676,0.000474
-114.122435,0.000474
-114.120195,0.000474
-114.117955,0.000474
-114.115714,0.000474
-114.113474,0.000474
-114.111233,0.000474
-114.108993,0.000475
-114.106753,0.000475
-114.104512,0.000475
-114.102272,0.000475
-114.100032,0.000475
-114.097791,0.000475
-114.095551,0.000475
-114.093311,0.000475
-114.091070,0.000475
-114.088830,0.000475
-114.086590,0.000475
-114.084349,0.000476
-114.082109,0.000476
-114.079869,0.000476
-114.077628,0.000476
-114.075388,0.000476
-114.073148,0.000476
-114.070907,0.000476
-114.068667,0.000476
-114.066427,0.000476
-114.064186,0.000476
-114.061946,0.000476
-114.059706,0.000477
-114.057465,0.000477
-114.055225,0.000477
-114.052984,0.000477
-114.050744,0.000477
-114.048504,0.000477
-114.046263,0.000477
-114.044023,0.000477
-114.041783,0.000477
-114.039542,0.000477
-114.037302,0.000477
-114.035062,0.000478
-114.032821,0.000478
-114.030581,0.000478
-114.028341,0.000478
-114.026100,0.000478
-114.023860,0.000478
-114.021620,0.000478
-114.019379,0.000478
-114.017139,0.000478
-114.014899,0.000478
-114.012658,0.000478
-114.010418,0.000478
-114.008178,0.000479
-114.005937,0.000479
-114.003697,0.000479
-114.001456,0.000479
-113.999216,0.000479
-113.996976,0.000479
-113.994735,0.000479
-113.992495,0.000479
-113.990255,0.000479
-113.988014,0.000479
-113.985774,0.000479
-113.983534,0.000480
-113.981293,0.000480
-113.979053,0.000480
-113.976813,0.000480
-113.974572,0.000480
-113.972332,0.000480
-113.970092,0.000480
-113.967851,0.000480
-113.965611,0.000480
-113.963371,0.000480
-113.961130,0.000480
-113.958890,0.000481
-113.956650,0.000481
-113.954409,0.000481
-113.952169,0.000481
-113.949929,0.000481
-113.947688,0.000481
-113.945448,0.000481
-113.943207,0.000481
-113.940967,0.000481
-113.938727,0.000481
-113.936486,0.000481
-113.934246,0.000482
-113.932006,0.000482
-113.929765,0.000482
-113.927525,0.000482
-113.925285,0.000482
-113.923044,0.000482
-113.920804,0.000482
-113.918564,0.000482
-113.916323,0.000482
-113.914083,0.000482
-113.911843,0.000482
-113.909602,0.000483
-113.907362,0.000483
-113.905122,0.000483
-113.902881,0.000483
-113.900641,0.000483
-113.898401,0.000483
-113.896160,0.000483
-113.893920,0.000483
-113.891680,0.000483
-113.889439,0.000483
-113.887199,0.000483
-113.884958,0.000484
-113.882718,0.000484
-113.880478,0.000484
-113.878237,0.000484
-113.875997,0.000484
-113.873757,0.000484
-113.871516,0.000484
-113.869276,0.000484
-113.867036,0.000484
-113.864795,0.000484
-113.862555,0.000484
-113.860315,0.000485
-113.858074,0.000485
-113.855834,0.000485
-113.853594,0.000485
-113.851353,0.000485
-113.849113,0.000485
-113.846873,0.000485
-113.844632,0.000485
-113.842392,0.000485
-113.840152,0.000485
-113.837911,0.000485
-113.835671,0.000486
-113.833430,0.000486
-113.831190,0.000486
-113.828950,0.000486
-113.826709,0.000486
-113.824469,0.000486
-113.822229,0.000486
-113.819988,0.000486
-113.817748,0.000486
-113.815508,0.000486
-113.813267,0.000487
-113.811027,0.000487
-113.808787,0.000487
-113.806546,0.000487
-113.804306,0.000487
-113.802066,0.000487
-113.799825,0.000487
-113.797585,0.000487
-113.795345,0.000487
-113.793104,0.000487
-113.790864,0.000487
-113.788624,0.000488
-113.786383,0.000488
-113.784143,0.000488
-113.781903,0.000488
-113.779662,0.000488
-113.777422,0.000488
-113.775181,0.000488
-113.772941,0.000488
-113.770701,0.000488
-113.768460,0.000488
-113.766220,0.000488
-113.763980,0.000489
-113.761739,0.000489
-113.759499,0.000489
-113.757259,0.000489
-113.755018,0.000489
-113.752778,0.000489
-113.750538,0.000489
-113.748297,0.000489
-113.746057,0.000489
-113.743817,0.000489
-113.741576,0.000489
-113.739336,0.000490
-113.737096,0.000490
-113.734855,0.000490
-113.732615,0.000490
-113.730375,0.000490
-113.728134,0.000490
-113.725894,0.000490
-113.723654,0.000490
-113.721413,0.000490
-113.719173,0.000490
-113.716932,0.000491
-113.714692,0.000491
-113.712452,0.000491
-113.710211,0.000491
-113.707971,0.000491
-113.705731,0.000491
-113.703490,0.000491
-113.701250,0.000491
-113.699010,0.000491
-113.696769,0.000491
-113.694529,0.000491
-113.692289,0.000492
-113.690048,0.000492
-113.687808,0.000492
-113.685568,0.000492
-113.683327,0.000492
-113.681087,0.000492
-113.678847,0.000492
-113.676606,0.000492
-113.674366,0.000492
-113.672126,0.000492
-113.669885,0.000492
-113.667645,0.000493
-113.665404,0.000493
-113.663164,0.000493
-113.660924,0.000493
-113.658683,0.000493
-113.656443,0.000493
-113.654203,0.000493
-113.651962,0.000493
-113.649722,0.000493
-113.647482,0.000493
-113.645241,0.000494
-113.643001,0.000494
-113.640761,0.000494
-113.638520,0.000494
-113.636280,0.000494
-113.634040,0.000494
-113.631799,0.000494
-113.629559,0.000494
-113.627319,0.000494
-113.625078,0.000494
-113.622838,0.000494
-113.620598,0.000495
-113.618357,0.000495
-113.616117,0.000495
-113.613877,0.000495
-113.611636,0.000495
-113.609396,0.000495
-113.607155,0.000495
-113.604915,0.000495
-113.602675,0.000495
-113.600434,0.000495
-113.598194,0.000496
-113.595954,0.000496
-113.593713,0.000496
-113.591473,0.000496
-113.589233,0.000496
-113.586992,0.000496
-113.584752,0.000496
-113.582512,0.000496
-113.580271,0.000496
-113.578031,0.000496
-113.575791,0.000496
-113.573550,0.000497
-113.571310,0.000497
-113.569070,0.000497
-113.566829,0.000497
-113.564589,0.000497
-113.562349,0.000497
-113.560108,0.000497
-113.557868,0.000497
-113.555628,0.000497
-113.553387,0.000497
-113.551147,0.000498
-113.548906,0.000498
-113.546666,0.000498
-113.544426,0.000498
-113.542185,0.000498
-113.539945,0.000498
-113.537705,0.000498
-113.535464,0.000498
-113.533224,0.000498
-113.530984,0.000498
-113.528743,0.000498
-113.526503,0.000499
-113.524263,0.000499
-113.522022,0.000499
-113.519782,0.000499
-113.517542,0.000499
-113.515301,0.000499
-113.513061,0.000499
-113.510821,0.000499
-113.508580,0.000499
-113.506340,0.000499
-113.504100,0.000500
-113.501859,0.000500
-113.499619,0.000500
-113.497378,0.000500
-113.495138,0.000500
-113.492898,0.000500
-113.490657,0.000500
-113.488417,0.000500
-113.486177,0.000500
-113.483936,0.000500
-113.481696,0.000501
-113.479456,0.000501
-113.477215,0.000501
-113.474975,0.000501
-113.472735,0.000501
-113.470494,0.000501
-113.468254,0.000501
-113.466014,0.000501
-113.463773,0.000501
-113.461533,0.000501
-113.459293,0.000501
-113.457052,0.000502
-113.454812,0.000502
-113.452572,0.000502
-113.450331,0.000502
-113.448091,0.000502
-113.445851,0.000502
-113.443610,0.000502
-113.441370,0.000502
-113.439129,0.000502
-113.436889,0.000502
-113.434649,0.000503
-113.432408,0.000503
-113.430168,0.000503
-113.427928,0.000503
-113.425687,0.000503
-113.423447,0.000503
-113.421207,0.000503
-113.418966,0.000503
-113.416726,0.000503
-113.414486,0.000503
-113.412245,0.000504
-113.410005,0.000504
-113.407765,0.000504
-113.405524,0.000504
-113.403284,0.000504
-113.401044,0.000504
-113.398803,0.000504
-113.396563,0.000504
-113.394323,0.000504
-113.392082,0.000504
-113.389842,0.000505
-113.387602,0.000505
-113.385361,0.000505
-113.383121,0.000505
-113.380880,0.000505
-113.378640,0.000505
-113.376400,0.000505
-113.374159,0.000505
-113.371919,0.000505
-113.369679,0.000505
-113.367438,0.000506
-113.365198,0.000506
-113.362958,0.000506
-113.360717,0.000506
-113.358477,0.000506
-113.356237,0.000506
-113.353996,0.000506
-113.351756,0.000506
-113.349516,0.000506
-113.347275,0.000506
-113.345035,0.000506
-113.342795,0.000507
-113.340554,0.000507
-113.338314,0.000507
-113.336074,0.000507
-113.333833,0.000507
-113.331593,0.000507
-113.329353,0.000507
-113.327112,0.000507
-113.324872,0.000507
-113.322631,0.000507
-113.320391,0.000508
-113.318151,0.000508
-113.315910,0.000508
-113.313670,0.000508
-113.311430,0.000508
-113.309189,0.000508
-113.306949,0.000508
-113.304709,0.000508
-113.302468,0.000508
-113.300228,0.000508
-113.297988,0.000509
-113.295747,0.000509
-113.293507,0.000509
-113.291267,0.000509
-113.289026,0.000509
-113.286786,0.000509
-113.284546,0.000509
-113.282305,0.000509
-113.280065,0.000509
-113.277825,0.000509
-113.275584,0.000510
-113.273344,0.000510
-113.271103,0.000510
-113.268863,0.000510
-113.266623,0.000510
-113.264382,0.000510
-113.262142,0.000510
-113.259902,0.000510
-113.257661,0.000510
-113.255421,0.000510
-113.253181,0.000511
-113.250940,0.000511
-113.248700,0.000511
-113.246460,0.000511
-113.244219,0.000511
-113.241979,0.000511
-113.239739,0.000511
-113.237498,0.000511
-113.235258,0.000511
-113.233018,0.000511
-113.230777,0.000512
-113.228537,0.000512
-113.226297,0.000512
-113.224056,0.000512
-113.221816,0.000512
-113.219576,0.000512
-113.217335,0.000512
-113.215095,0.000512
