# This file was generated with ParaNMR v1.15.0 at 22:26:56 22-07-2026 
# T = 302.15 K
signal_label,δ_total_avg (ppm),δ_dia_avg (ppm),δ_pc_avg (ppm),δ_fc_avg (ppm),linewidth_r6_fit (ppm)
H1,-34.501992,2.828000,-37.329992,0.000000,0.963031
H10,9.638807,2.685000,6.953807,0.000000,2.296906
H11,10.252513,2.631000,7.621513,0.000000,2.249273
H12,9.917346,2.656000,7.261346,0.000000,2.271928
H13,13.388600,3.848000,9.540600,0.000000,0.932858
H14,87.969853,4.563000,83.406853,0.000000,2.389958
H15,13.601502,3.844000,9.757502,0.000000,0.932516
H16,88.619200,4.575000,84.044200,0.000000,2.411346
H17,13.848845,3.837000,10.011845,0.000000,0.927554
H18,87.424692,4.534000,82.890692,0.000000,2.354447
H19,28.119067,7.579000,20.540067,0.000000,0.645272
H2,-34.083043,2.809000,-36.892043,0.000000,0.957422
H20,23.687851,8.276000,15.411851,0.000000,0.590375
H21,25.273766,8.588000,16.685766,0.000000,0.651491
H22,28.049840,7.579000,20.470840,0.000000,0.644858
H23,23.651973,8.276000,15.375973,0.000000,0.590059
H24,25.437977,8.577000,16.860977,0.000000,0.650221
H25,28.152867,7.579000,20.573867,0.000000,0.644551
H26,23.658802,8.273000,15.385802,0.000000,0.590279
H27,25.416611,8.580000,16.836611,0.000000,0.651738
H3,-33.698496,2.801000,-36.499496,0.000000,0.960807
H4,-92.868398,3.414000,-96.282398,0.000000,1.079520
H5,-92.473621,3.416000,-95.889621,0.000000,1.076850
H6,-91.949222,3.399000,-95.348222,0.000000,1.074991
H7,-39.259092,2.406000,-41.665092,0.000000,0.921240
H8,-38.500949,2.393000,-40.893949,0.000000,0.915502
H9,-39.268233,2.406000,-41.674233,0.000000,0.920703
