# This file was generated with ParaNMR v1.15.0 at 22:26:56 22-07-2026 
shift (ppm),intensity (a.u.)
-112.370761,0.000485
-112.368556,0.000485
-112.366351,0.000485
-112.364146,0.000485
-112.361941,0.000485
-112.359736,0.000485
-112.357531,0.000485
-112.355327,0.000485
-112.353122,0.000485
-112.350917,0.000485
-112.348712,0.000486
-112.346507,0.000486
-112.344302,0.000486
-112.342097,0.000486
-112.339892,0.000486
-112.337687,0.000486
-112.335482,0.000486
-112.333277,0.000486
-112.331072,0.000486
-112.328867,0.000486
-112.326662,0.000486
-112.324457,0.000486
-112.322252,0.000487
-112.320047,0.000487
-112.317842,0.000487
-112.315638,0.000487
-112.313433,0.000487
-112.311228,0.000487
-112.309023,0.000487
-112.306818,0.000487
-112.304613,0.000487
-112.302408,0.000487
-112.300203,0.000487
-112.297998,0.000488
-112.295793,0.000488
-112.293588,0.000488
-112.291383,0.000488
-112.289178,0.000488
-112.286973,0.000488
-112.284768,0.000488
-112.282563,0.000488
-112.280358,0.000488
-112.278153,0.000488
-112.275949,0.000488
-112.273744,0.000489
-112.271539,0.000489
-112.269334,0.000489
-112.267129,0.000489
-112.264924,0.000489
-112.262719,0.000489
-112.260514,0.000489
-112.258309,0.000489
-112.256104,0.000489
-112.253899,0.000489
-112.251694,0.000489
-112.249489,0.000490
-112.247284,0.000490
-112.245079,0.000490
-112.242874,0.000490
-112.240669,0.000490
-112.238464,0.000490
-112.236259,0.000490
-112.234055,0.000490
-112.231850,0.000490
-112.229645,0.000490
-112.227440,0.000490
-112.225235,0.000491
-112.223030,0.000491
-112.220825,0.000491
-112.218620,0.000491
-112.216415,0.000491
-112.214210,0.000491
-112.212005,0.000491
-112.209800,0.000491
-112.207595,0.000491
-112.205390,0.000491
-112.203185,0.000492
-112.200980,0.000492
-112.198775,0.000492
-112.196570,0.000492
-112.194366,0.000492
-112.192161,0.000492
-112.189956,0.000492
-112.187751,0.000492
-112.185546,0.000492
-112.183341,0.000492
-112.181136,0.000492
-112.178931,0.000493
-112.176726,0.000493
-112.174521,0.000493
-112.172316,0.000493
-112.170111,0.000493
-112.167906,0.000493
-112.165701,0.000493
-112.163496,0.000493
-112.161291,0.000493
-112.159086,0.000493
-112.156881,0.000493
-112.154677,0.000494
-112.152472,0.000494
-112.150267,0.000494
-112.148062,0.000494
-112.145857,0.000494
-112.143652,0.000494
-112.141447,0.000494
-112.139242,0.000494
-112.137037,0.000494
-112.134832,0.000494
-112.132627,0.000494
-112.130422,0.000495
-112.128217,0.000495
-112.126012,0.000495
-112.123807,0.000495
-112.121602,0.000495
-112.119397,0.000495
-112.117192,0.000495
-112.114988,0.000495
-112.112783,0.000495
-112.110578,0.000495
-112.108373,0.000495
-112.106168,0.000496
-112.103963,0.000496
-112.101758,0.000496
-112.099553,0.000496
-112.097348,0.000496
-112.095143,0.000496
-112.092938,0.000496
-112.090733,0.000496
-112.088528,0.000496
-112.086323,0.000496
-112.084118,0.000497
-112.081913,0.000497
-112.079708,0.000497
-112.077503,0.000497
-112.075298,0.000497
-112.073094,0.000497
-112.070889,0.000497
-112.068684,0.000497
-112.066479,0.000497
-112.064274,0.000497
-112.062069,0.000497
-112.059864,0.000498
-112.057659,0.000498
-112.055454,0.000498
-112.053249,0.000498
-112.051044,0.000498
-112.048839,0.000498
-112.046634,0.000498
-112.044429,0.000498
-112.042224,0.000498
-112.040019,0.000498
-112.037814,0.000498
-112.035609,0.000499
-112.033405,0.000499
-112.031200,0.000499
-112.028995,0.000499
-112.026790,0.000499
-112.024585,0.000499
-112.022380,0.000499
-112.020175,0.000499
-112.017970,0.000499
-112.015765,0.000499
-112.013560,0.000500
-112.011355,0.000500
-112.009150,0.000500
-112.006945,0.000500
-112.004740,0.000500
-112.002535,0.000500
-112.000330,0.000500
-111.998125,0.000500
-111.995920,0.000500
-111.993716,0.000500
-111.991511,0.000500
-111.989306,0.000501
-111.987101,0.000501
-111.984896,0.000501
-111.982691,0.000501
-111.980486,0.000501
-111.978281,0.000501
-111.976076,0.000501
-111.973871,0.000501
-111.971666,0.000501
-111.969461,0.000501
-111.967256,0.000502
-111.965051,0.000502
-111.962846,0.000502
-111.960641,0.000502
-111.958436,0.000502
-111.956231,0.000502
-111.954027,0.000502
-111.951822,0.000502
-111.949617,0.000502
-111.947412,0.000502
-111.945207,0.000502
-111.943002,0.000503
-111.940797,0.000503
-111.938592,0.000503
-111.936387,0.000503
-111.934182,0.000503
-111.931977,0.000503
-111.929772,0.000503
-111.927567,0.000503
-111.925362,0.000503
-111.923157,0.000503
-111.920952,0.000504
-111.918747,0.000504
-111.916542,0.000504
-111.914337,0.000504
-111.912133,0.000504
-111.909928,0.000504
-111.907723,0.000504
-111.905518,0.000504
-111.903313,0.000504
-111.901108,0.000504
-111.898903,0.000504
-111.896698,0.000505
-111.894493,0.000505
-111.892288,0.000505
-111.890083,0.000505
-111.887878,0.000505
-111.885673,0.000505
-111.883468,0.000505
-111.881263,0.000505
-111.879058,0.000505
-111.876853,0.000505
-111.874648,0.000506
-111.872444,0.000506
-111.870239,0.000506
-111.868034,0.000506
-111.865829,0.000506
-111.863624,0.000506
-111.861419,0.000506
-111.859214,0.000506
-111.857009,0.000506
-111.854804,0.000506
-111.852599,0.000507
-111.850394,0.000507
-111.848189,0.000507
-111.845984,0.000507
-111.843779,0.000507
-111.841574,0.000507
-111.839369,0.000507
-111.837164,0.000507
-111.834959,0.000507
-111.832755,0.000507
-111.830550,0.000507
-111.828345,0.000508
-111.826140,0.000508
-111.823935,0.000508
-111.821730,0.000508
-111.819525,0.000508
-111.817320,0.000508
-111.815115,0.000508
-111.812910,0.000508
-111.810705,0.000508
-111.808500,0.000508
-111.806295,0.000509
-111.804090,0.000509
-111.801885,0.000509
-111.799680,0.000509
-111.797475,0.000509
-111.795270,0.000509
-111.793065,0.000509
-111.790861,0.000509
-111.788656,0.000509
-111.786451,0.000509
-111.784246,0.000510
-111.782041,0.000510
-111.779836,0.000510
-111.777631,0.000510
-111.775426,0.000510
-111.773221,0.000510
-111.771016,0.000510
-111.768811,0.000510
-111.766606,0.000510
-111.764401,0.000510
-111.762196,0.000511
-111.759991,0.000511
-111.757786,0.000511
-111.755581,0.000511
-111.753376,0.000511
-111.751172,0.000511
-111.748967,0.000511
-111.746762,0.000511
-111.744557,0.000511
-111.742352,0.000511
-111.740147,0.000511
-111.737942,0.000512
-111.735737,0.000512
-111.733532,0.000512
-111.731327,0.000512
-111.729122,0.000512
-111.726917,0.000512
-111.724712,0.000512
-111.722507,0.000512
-111.720302,0.000512
-111.718097,0.000512
-111.715892,0.000513
-111.713687,0.000513
-111.711483,0.000513
-111.709278,0.000513
-111.707073,0.000513
-111.704868,0.000513
-111.702663,0.000513
-111.700458,0.000513
-111.698253,0.000513
-111.696048,0.000513
-111.693843,0.000514
-111.691638,0.000514
-111.689433,0.000514
-111.687228,0.000514
-111.685023,0.000514
-111.682818,0.000514
-111.680613,0.000514
-111.678408,0.000514
-111.676203,0.000514
-111.673998,0.000514
-111.671794,0.000515
-111.669589,0.000515
-111.667384,0.000515
-111.665179,0.000515
-111.662974,0.000515
-111.660769,0.000515
-111.658564,0.000515
-111.656359,0.000515
-111.654154,0.000515
-111.651949,0.000515
-111.649744,0.000516
-111.647539,0.000516
-111.645334,0.000516
-111.643129,0.000516
-111.640924,0.000516
-111.638719,0.000516
-111.636514,0.000516
-111.634309,0.000516
-111.632104,0.000516
-111.629900,0.000516
-111.627695,0.000517
-111.625490,0.000517
-111.623285,0.000517
-111.621080,0.000517
-111.618875,0.000517
-111.616670,0.000517
-111.614465,0.000517
-111.612260,0.000517
-111.610055,0.000517
-111.607850,0.000517
