# This file was generated with ParaNMR v1.14.0 at 13:12:39 21-07-2026 
shift (ppm),intensity (a.u.)
-114.651148,0.000349
-114.648903,0.000349
-114.646657,0.000349
-114.644411,0.000349
-114.642165,0.000349
-114.639919,0.000349
-114.637674,0.000349
-114.635428,0.000349
-114.633182,0.000349
-114.630936,0.000349
-114.628691,0.000349
-114.626445,0.000349
-114.624199,0.000349
-114.621953,0.000350
-114.619707,0.000350
-114.617462,0.000350
-114.615216,0.000350
-114.612970,0.000350
-114.610724,0.000350
-114.608478,0.000350
-114.606233,0.000350
-114.603987,0.000350
-114.601741,0.000350
-114.599495,0.000350
-114.597250,0.000350
-114.595004,0.000350
-114.592758,0.000350
-114.590512,0.000350
-114.588266,0.000351
-114.586021,0.000351
-114.583775,0.000351
-114.581529,0.000351
-114.579283,0.000351
-114.577037,0.000351
-114.574792,0.000351
-114.572546,0.000351
-114.570300,0.000351
-114.568054,0.000351
-114.565809,0.000351
-114.563563,0.000351
-114.561317,0.000351
-114.559071,0.000351
-114.556825,0.000352
-114.554580,0.000352
-114.552334,0.000352
-114.550088,0.000352
-114.547842,0.000352
-114.545597,0.000352
-114.543351,0.000352
-114.541105,0.000352
-114.538859,0.000352
-114.536613,0.000352
-114.534368,0.000352
-114.532122,0.000352
-114.529876,0.000352
-114.527630,0.000352
-114.525384,0.000352
-114.523139,0.000353
-114.520893,0.000353
-114.518647,0.000353
-114.516401,0.000353
-114.514156,0.000353
-114.511910,0.000353
-114.509664,0.000353
-114.507418,0.000353
-114.505172,0.000353
-114.502927,0.000353
-114.500681,0.000353
-114.498435,0.000353
-114.496189,0.000353
-114.493943,0.000353
-114.491698,0.000354
-114.489452,0.000354
-114.487206,0.000354
-114.484960,0.000354
-114.482715,0.000354
-114.480469,0.000354
-114.478223,0.000354
-114.475977,0.000354
-114.473731,0.000354
-114.471486,0.000354
-114.469240,0.000354
-114.466994,0.000354
-114.464748,0.000354
-114.462503,0.000354
-114.460257,0.000355
-114.458011,0.000355
-114.455765,0.000355
-114.453519,0.000355
-114.451274,0.000355
-114.449028,0.000355
-114.446782,0.000355
-114.444536,0.000355
-114.442290,0.000355
-114.440045,0.000355
-114.437799,0.000355
-114.435553,0.000355
-114.433307,0.000355
-114.431062,0.000355
-114.428816,0.000355
-114.426570,0.000356
-114.424324,0.000356
-114.422078,0.000356
-114.419833,0.000356
-114.417587,0.000356
-114.415341,0.000356
-114.413095,0.000356
-114.410849,0.000356
-114.408604,0.000356
-114.406358,0.000356
-114.404112,0.000356
-114.401866,0.000356
-114.399621,0.000356
-114.397375,0.000356
-114.395129,0.000357
-114.392883,0.000357
-114.390637,0.000357
-114.388392,0.000357
-114.386146,0.000357
-114.383900,0.000357
-114.381654,0.000357
-114.379409,0.000357
-114.377163,0.000357
-114.374917,0.000357
-114.372671,0.000357
-114.370425,0.000357
-114.368180,0.000357
-114.365934,0.000357
-114.363688,0.000358
-114.361442,0.000358
-114.359196,0.000358
-114.356951,0.000358
-114.354705,0.000358
-114.352459,0.000358
-114.350213,0.000358
-114.347968,0.000358
-114.345722,0.000358
-114.343476,0.000358
-114.341230,0.000358
-114.338984,0.000358
-114.336739,0.000358
-114.334493,0.000358
-114.332247,0.000359
-114.330001,0.000359
-114.327755,0.000359
-114.325510,0.000359
-114.323264,0.000359
-114.321018,0.000359
-114.318772,0.000359
-114.316527,0.000359
-114.314281,0.000359
-114.312035,0.000359
-114.309789,0.000359
-114.307543,0.000359
-114.305298,0.000359
-114.303052,0.000359
-114.300806,0.000360
-114.298560,0.000360
-114.296315,0.000360
-114.294069,0.000360
-114.291823,0.000360
-114.289577,0.000360
-114.287331,0.000360
-114.285086,0.000360
-114.282840,0.000360
-114.280594,0.000360
-114.278348,0.000360
-114.276102,0.000360
-114.273857,0.000360
-114.271611,0.000360
-114.269365,0.000361
-114.267119,0.000361
-114.264874,0.000361
-114.262628,0.000361
-114.260382,0.000361
-114.258136,0.000361
-114.255890,0.000361
-114.253645,0.000361
-114.251399,0.000361
-114.249153,0.000361
-114.246907,0.000361
-114.244661,0.000361
-114.242416,0.000361
-114.240170,0.000361
-114.237924,0.000362
-114.235678,0.000362
-114.233433,0.000362
-114.231187,0.000362
-114.228941,0.000362
-114.226695,0.000362
-114.224449,0.000362
-114.222204,0.000362
-114.219958,0.000362
-114.217712,0.000362
-114.215466,0.000362
-114.213221,0.000362
-114.210975,0.000362
-114.208729,0.000362
-114.206483,0.000363
-114.204237,0.000363
-114.201992,0.000363
-114.199746,0.000363
-114.197500,0.000363
-114.195254,0.000363
-114.193008,0.000363
-114.190763,0.000363
-114.188517,0.000363
-114.186271,0.000363
-114.184025,0.000363
-114.181780,0.000363
-114.179534,0.000363
-114.177288,0.000363
-114.175042,0.000364
-114.172796,0.000364
-114.170551,0.000364
-114.168305,0.000364
-114.166059,0.000364
-114.163813,0.000364
-114.161567,0.000364
-114.159322,0.000364
-114.157076,0.000364
-114.154830,0.000364
-114.152584,0.000364
-114.150339,0.000364
-114.148093,0.000364
-114.145847,0.000364
-114.143601,0.000365
-114.141355,0.000365
-114.139110,0.000365
-114.136864,0.000365
-114.134618,0.000365
-114.132372,0.000365
-114.130126,0.000365
-114.127881,0.000365
-114.125635,0.000365
-114.123389,0.000365
-114.121143,0.000365
-114.118898,0.000365
-114.116652,0.000365
-114.114406,0.000366
-114.112160,0.000366
-114.109914,0.000366
-114.107669,0.000366
-114.105423,0.000366
-114.103177,0.000366
-114.100931,0.000366
-114.098686,0.000366
-114.096440,0.000366
-114.094194,0.000366
-114.091948,0.000366
-114.089702,0.000366
-114.087457,0.000366
-114.085211,0.000366
-114.082965,0.000367
-114.080719,0.000367
-114.078473,0.000367
-114.076228,0.000367
-114.073982,0.000367
-114.071736,0.000367
-114.069490,0.000367
-114.067245,0.000367
-114.064999,0.000367
-114.062753,0.000367
-114.060507,0.000367
-114.058261,0.000367
-114.056016,0.000367
-114.053770,0.000368
-114.051524,0.000368
-114.049278,0.000368
-114.047032,0.000368
-114.044787,0.000368
-114.042541,0.000368
-114.040295,0.000368
-114.038049,0.000368
-114.035804,0.000368
-114.033558,0.000368
-114.031312,0.000368
-114.029066,0.000368
-114.026820,0.000368
-114.024575,0.000368
-114.022329,0.000369
-114.020083,0.000369
-114.017837,0.000369
-114.015592,0.000369
-114.013346,0.000369
-114.011100,0.000369
-114.008854,0.000369
-114.006608,0.000369
-114.004363,0.000369
-114.002117,0.000369
-113.999871,0.000369
-113.997625,0.000369
-113.995379,0.000369
-113.993134,0.000370
-113.990888,0.000370
-113.988642,0.000370
-113.986396,0.000370
-113.984151,0.000370
-113.981905,0.000370
-113.979659,0.000370
-113.977413,0.000370
-113.975167,0.000370
-113.972922,0.000370
-113.970676,0.000370
-113.968430,0.000370
-113.966184,0.000370
-113.963938,0.000370
-113.961693,0.000371
-113.959447,0.000371
-113.957201,0.000371
-113.954955,0.000371
-113.952710,0.000371
-113.950464,0.000371
-113.948218,0.000371
-113.945972,0.000371
-113.943726,0.000371
-113.941481,0.000371
-113.939235,0.000371
-113.936989,0.000371
-113.934743,0.000371
-113.932498,0.000372
-113.930252,0.000372
-113.928006,0.000372
-113.925760,0.000372
-113.923514,0.000372
-113.921269,0.000372
-113.919023,0.000372
-113.916777,0.000372
-113.914531,0.000372
-113.912285,0.000372
-113.910040,0.000372
-113.907794,0.000372
-113.905548,0.000372
-113.903302,0.000373
-113.901057,0.000373
-113.898811,0.000373
-113.896565,0.000373
-113.894319,0.000373
-113.892073,0.000373
-113.889828,0.000373
-113.887582,0.000373
-113.885336,0.000373
-113.883090,0.000373
-113.880844,0.000373
-113.878599,0.000373
-113.876353,0.000373
-113.874107,0.000374
-113.871861,0.000374
-113.869616,0.000374
-113.867370,0.000374
-113.865124,0.000374
-113.862878,0.000374
-113.860632,0.000374
-113.858387,0.000374
-113.856141,0.000374
-113.853895,0.000374
-113.851649,0.000374
-113.849404,0.000374
-113.847158,0.000374
-113.844912,0.000375
-113.842666,0.000375
-113.840420,0.000375
-113.838175,0.000375
-113.835929,0.000375
-113.833683,0.000375
-113.831437,0.000375
-113.829191,0.000375
-113.826946,0.000375
-113.824700,0.000375
-113.822454,0.000375
-113.820208,0.000375
-113.817963,0.000375
-113.815717,0.000376
-113.813471,0.000376
-113.811225,0.000376
-113.808979,0.000376
-113.806734,0.000376
-113.804488,0.000376
-113.802242,0.000376
-113.799996,0.000376
-113.797750,0.000376
-113.795505,0.000376
-113.793259,0.000376
-113.791013,0.000376
-113.788767,0.000376
-113.786522,0.000377
-113.784276,0.000377
-113.782030,0.000377
-113.779784,0.000377
-113.777538,0.000377
-113.775293,0.000377
-113.773047,0.000377
-113.770801,0.000377
-113.768555,0.000377
-113.766310,0.000377
-113.764064,0.000377
-113.761818,0.000377
-113.759572,0.000377
-113.757326,0.000378
-113.755081,0.000378
-113.752835,0.000378
-113.750589,0.000378
-113.748343,0.000378
-113.746097,0.000378
-113.743852,0.000378
-113.741606,0.000378
-113.739360,0.000378
-113.737114,0.000378
-113.734869,0.000378
-113.732623,0.000378
-113.730377,0.000378
-113.728131,0.000379
-113.725885,0.000379
-113.723640,0.000379
-113.721394,0.000379
-113.719148,0.000379
-113.716902,0.000379
-113.714656,0.000379
-113.712411,0.000379
-113.710165,0.000379
-113.707919,0.000379
-113.705673,0.000379
-113.703428,0.000379
-113.701182,0.000379
-113.698936,0.000380
-113.696690,0.000380
-113.694444,0.000380
-113.692199,0.000380
-113.689953,0.000380
-113.687707,0.000380
-113.685461,0.000380
-113.683216,0.000380
-113.680970,0.000380
-113.678724,0.000380
-113.676478,0.000380
-113.674232,0.000380
-113.671987,0.000380
-113.669741,0.000381
-113.667495,0.000381
-113.665249,0.000381
-113.663003,0.000381
-113.660758,0.000381
-113.658512,0.000381
-113.656266,0.000381
-113.654020,0.000381
-113.651775,0.000381
-113.649529,0.000381
-113.647283,0.000381
-113.645037,0.000381
-113.642791,0.000382
-113.640546,0.000382
-113.638300,0.000382
-113.636054,0.000382
-113.633808,0.000382
-113.631562,0.000382
-113.629317,0.000382
-113.627071,0.000382
-113.624825,0.000382
-113.622579,0.000382
-113.620334,0.000382
-113.618088,0.000382
-113.615842,0.000382
-113.613596,0.000383
-113.611350,0.000383
-113.609105,0.000383
-113.606859,0.000383
-113.604613,0.000383
-113.602367,0.000383
-113.600122,0.000383
-113.597876,0.000383
-113.595630,0.000383
-113.593384,0.000383
-113.591138,0.000383
-113.588893,0.000383
-113.586647,0.000383
-113.584401,0.000384
-113.582155,0.000384
-113.579909,0.000384
-113.577664,0.000384
-113.575418,0.000384
-113.573172,0.000384
-113.570926,0.000384
-113.568681,0.000384
-113.566435,0.000384
-113.564189,0.000384
-113.561943,0.000384
-113.559697,0.000384
-113.557452,0.000385
-113.555206,0.000385
-113.552960,0.000385
-113.550714,0.000385
-113.548468,0.000385
-113.546223,0.000385
-113.543977,0.000385
-113.541731,0.000385
-113.539485,0.000385
-113.537240,0.000385
-113.534994,0.000385
-113.532748,0.000385
-113.530502,0.000385
-113.528256,0.000386
-113.526011,0.000386
-113.523765,0.000386
-113.521519,0.000386
-113.519273,0.000386
-113.517028,0.000386
-113.514782,0.000386
-113.512536,0.000386
-113.510290,0.000386
-113.508044,0.000386
-113.505799,0.000386
-113.503553,0.000386
-113.501307,0.000387
-113.499061,0.000387
-113.496815,0.000387
-113.494570,0.000387
-113.492324,0.000387
-113.490078,0.000387
-113.487832,0.000387
-113.485587,0.000387
-113.483341,0.000387
-113.481095,0.000387
-113.478849,0.000387
-113.476603,0.000387
-113.474358,0.000388
-113.472112,0.000388
-113.469866,0.000388
-113.467620,0.000388
-113.465374,0.000388
-113.463129,0.000388
-113.460883,0.000388
-113.458637,0.000388
-113.456391,0.000388
-113.454146,0.000388
-113.451900,0.000388
-113.449654,0.000388
-113.447408,0.000388
-113.445162,0.000389
-113.442917,0.000389
-113.440671,0.000389
-113.438425,0.000389
-113.436179,0.000389
-113.433934,0.000389
-113.431688,0.000389
-113.429442,0.000389
-113.427196,0.000389
-113.424950,0.000389
-113.422705,0.000389
-113.420459,0.000389
-113.418213,0.000390
-113.415967,0.000390
-113.413721,0.000390
-113.411476,0.000390
-113.409230,0.000390
-113.406984,0.000390
-113.404738,0.000390
-113.402493,0.000390
-113.400247,0.000390
-113.398001,0.000390
-113.395755,0.000390
-113.393509,0.000390
-113.391264,0.000391
-113.389018,0.000391
-113.386772,0.000391
-113.384526,0.000391
-113.382280,0.000391
-113.380035,0.000391
-113.377789,0.000391
