# This file was generated with SimpNMR v1.6.0 at 10:40:14 16-03-2026 
# Hyperfines from file /Users/ernestborysenko/git/simpnmr/examples/P3FeCl/DATA/HFC/P3FeCl_HFC.out
Diamagnetic shifts from file /Users/ernestborysenko/git/simpnmr/examples/P3FeCl/DATA/DIA/P3FeCl_Diamagnetic_Shifts_13C.csv
T = 257.27 K
atom_label (),chem_label (),x (Å),y (Å),z (Å),A_fc_iso (ppm Å^-3),A_sd_xx (ppm Å^-3),A_sd_xy (ppm Å^-3),A_sd_xz (ppm Å^-3),A_sd_yy (ppm Å^-3),A_sd_yz (ppm Å^-3),A_sd_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_pc (ppm),δ_fc (ppm),linewidth (ppm)
C1,C3,7.288317,4.335041,14.837420,5228.864189,-548.151686,828.341254,-2592.620294,-1828.355903,-1468.808757,2376.507532,987.496297,1257.051935,33.070000,112.351830,1111.630105,1.000000
C2,C3,9.255701,6.747370,15.062289,1908.099211,-1982.911947,50.856607,-43.850850,-611.177293,2443.230595,2594.089623,987.496297,717.011505,33.070000,278.289255,405.652250,1.000000
C3,C3,10.395877,3.841801,14.946436,4078.321667,-1325.432421,-786.706656,1974.605248,-1399.791368,-1743.048380,2725.223694,987.496297,988.425450,33.070000,88.324872,867.030578,1.000000
C4,C1,5.931607,3.237337,12.463673,3432.417490,1632.966249,2345.822233,-438.994740,60.966922,-138.006637,-1693.933364,727.750798,613.774628,10.810000,-126.749986,729.714614,1.000000
C5,C2_up,5.441820,3.415910,11.022078,-323.752576,1404.444751,1156.693619,604.686667,-538.823096,292.570056,-865.621640,84.091245,-94.788768,19.300000,-45.260606,-68.828162,1.000000
C6,C2_down,4.811565,2.719837,13.372277,2767.304061,756.618681,928.688786,-664.532664,-275.474092,-409.946109,-481.144663,363.542531,562.373718,21.010000,-46.951142,588.314860,1.000000
C7,C1,5.821436,6.247538,13.173253,534.251740,1951.442704,-1310.350959,-1413.302066,-949.273769,560.303170,-1002.168623,727.750798,134.112859,10.810000,9.723639,113.579220,1.000000
C8,C2_up,5.609958,6.900709,11.801931,652.707603,1750.231886,-1515.888767,74.670893,-504.893038,-82.044196,-1245.338842,84.091245,104.427928,19.300000,-53.634410,138.762338,1.000000
C9,C2_down,4.491832,6.108139,13.921609,1906.098287,988.330989,-341.727925,-800.192899,-655.129592,149.159816,-333.201275,363.542531,435.118180,21.010000,8.881315,405.226864,1.000000
C10,C1,8.951219,8.704127,12.870633,5642.259056,-1802.602844,-998.349826,79.374555,3629.230233,813.886143,-1826.627199,727.750798,1094.216573,10.810000,-116.109191,1199.515765,1.000000
C11,C2_up,9.331052,9.178178,11.463214,-110.452058,-1163.600370,160.094863,21.554372,2148.971701,-348.780328,-985.371409,84.091245,-114.659802,19.300000,-110.478253,-23.481549,1.000000
C12,C2_down,9.042820,9.845742,13.888701,2570.411079,-868.852553,-86.112824,-55.455118,1232.323489,977.701818,-363.471029,363.542531,574.799452,21.010000,7.333045,546.456407,1.000000
C13,C1,11.654173,7.306606,13.461589,4623.378788,1417.856135,2191.498532,1457.078596,-257.217244,1164.545157,-1160.638828,727.750798,950.211827,10.810000,-43.505141,982.906968,1.000000
C14,C2_up,12.325184,7.346524,12.083480,1425.471825,1235.887269,1961.265797,139.421409,93.882337,260.405151,-1329.769351,84.091245,234.209136,19.300000,-88.138971,303.048107,1.000000
C15,C2_down,12.168696,8.436019,14.359758,2056.569216,-5.263384,921.376316,671.758319,221.713535,774.064460,-216.850627,363.542531,463.607145,21.010000,5.380922,437.216223,1.000000
C16,C1,12.176476,2.872953,12.699803,5444.565620,2207.060052,-2654.890438,323.257888,-399.746791,-373.042474,-1807.313847,727.750798,1075.714613,10.810000,-92.582526,1157.487139,1.000000
C17,C2_down,13.257040,3.525505,13.563213,-208.498257,1038.896854,-564.662210,689.004902,-500.786399,-230.163463,-537.710272,363.542531,-58.121855,21.010000,-34.806179,-44.325676,1.000000
