# This file was generated with SimpNMR v1.6.0 at 15:51:42 16-03-2026 
shift (ppm),intensity (a.u.)
-105.386517,0.000013
-105.375106,0.000013
-105.363694,0.000013
-105.352283,0.000013
-105.340871,0.000013
-105.329460,0.000013
-105.318048,0.000013
-105.306637,0.000013
-105.295225,0.000013
-105.283813,0.000013
-105.272402,0.000013
-105.260990,0.000013
-105.249579,0.000013
-105.238167,0.000013
-105.226756,0.000013
-105.215344,0.000013
-105.203933,0.000013
-105.192521,0.000013
-105.181110,0.000013
-105.169698,0.000013
-105.158287,0.000013
-105.146875,0.000013
-105.135464,0.000013
-105.124052,0.000013
-105.112641,0.000013
-105.101229,0.000013
-105.089817,0.000013
-105.078406,0.000013
-105.066994,0.000013
-105.055583,0.000013
-105.044171,0.000013
-105.032760,0.000013
-105.021348,0.000013
-105.009937,0.000013
-104.998525,0.000013
-104.987114,0.000013
-104.975702,0.000013
-104.964291,0.000013
-104.952879,0.000013
-104.941468,0.000013
-104.930056,0.000013
-104.918644,0.000013
-104.907233,0.000013
-104.895821,0.000013
-104.884410,0.000013
-104.872998,0.000013
-104.861587,0.000013
-104.850175,0.000013
-104.838764,0.000013
-104.827352,0.000013
-104.815941,0.000013
-104.804529,0.000013
-104.793118,0.000013
-104.781706,0.000013
-104.770295,0.000013
-104.758883,0.000013
-104.747472,0.000013
-104.736060,0.000013
-104.724648,0.000013
-104.713237,0.000013
-104.701825,0.000013
-104.690414,0.000013
-104.679002,0.000013
-104.667591,0.000013
-104.656179,0.000013
-104.644768,0.000013
-104.633356,0.000013
-104.621945,0.000013
-104.610533,0.000013
-104.599122,0.000013
-104.587710,0.000013
-104.576299,0.000013
-104.564887,0.000013
-104.553475,0.000013
-104.542064,0.000013
-104.530652,0.000013
-104.519241,0.000013
-104.507829,0.000013
-104.496418,0.000013
-104.485006,0.000013
-104.473595,0.000013
-104.462183,0.000013
-104.450772,0.000013
-104.439360,0.000013
-104.427949,0.000013
-104.416537,0.000013
-104.405126,0.000013
-104.393714,0.000013
-104.382303,0.000013
-104.370891,0.000013
-104.359479,0.000013
-104.348068,0.000013
-104.336656,0.000013
-104.325245,0.000013
-104.313833,0.000013
-104.302422,0.000013
-104.291010,0.000013
-104.279599,0.000013
-104.268187,0.000013
-104.256776,0.000013
-104.245364,0.000013
-104.233953,0.000013
-104.222541,0.000013
-104.211130,0.000013
-104.199718,0.000013
-104.188306,0.000013
-104.176895,0.000013
-104.165483,0.000013
-104.154072,0.000013
-104.142660,0.000013
-104.131249,0.000013
-104.119837,0.000013
-104.108426,0.000013
-104.097014,0.000013
-104.085603,0.000013
-104.074191,0.000013
-104.062780,0.000013
-104.051368,0.000013
-104.039957,0.000013
-104.028545,0.000013
-104.017134,0.000013
-104.005722,0.000013
-103.994310,0.000013
-103.982899,0.000013
-103.971487,0.000013
-103.960076,0.000013
-103.948664,0.000013
-103.937253,0.000013
-103.925841,0.000013
-103.914430,0.000013
-103.903018,0.000013
-103.891607,0.000013
-103.880195,0.000013
-103.868784,0.000013
-103.857372,0.000013
-103.845961,0.000013
-103.834549,0.000013
-103.823138,0.000013
-103.811726,0.000013
-103.800314,0.000013
-103.788903,0.000013
-103.777491,0.000013
-103.766080,0.000013
-103.754668,0.000013
-103.743257,0.000013
-103.731845,0.000013
-103.720434,0.000013
-103.709022,0.000013
-103.697611,0.000013
-103.686199,0.000013
-103.674788,0.000013
-103.663376,0.000013
-103.651965,0.000013
-103.640553,0.000013
-103.629141,0.000013
-103.617730,0.000013
-103.606318,0.000013
-103.594907,0.000013
-103.583495,0.000013
-103.572084,0.000013
-103.560672,0.000013
-103.549261,0.000013
-103.537849,0.000013
-103.526438,0.000013
-103.515026,0.000013
-103.503615,0.000013
-103.492203,0.000013
-103.480792,0.000013
-103.469380,0.000013
-103.457969,0.000013
-103.446557,0.000013
-103.435145,0.000013
-103.423734,0.000013
-103.412322,0.000013
-103.400911,0.000013
-103.389499,0.000013
-103.378088,0.000013
-103.366676,0.000013
-103.355265,0.000013
-103.343853,0.000013
-103.332442,0.000013
-103.321030,0.000013
-103.309619,0.000013
-103.298207,0.000013
-103.286796,0.000013
-103.275384,0.000013
-103.263972,0.000013
-103.252561,0.000013
-103.241149,0.000013
-103.229738,0.000013
-103.218326,0.000013
-103.206915,0.000013
-103.195503,0.000013
-103.184092,0.000013
-103.172680,0.000013
-103.161269,0.000013
-103.149857,0.000013
-103.138446,0.000013
-103.127034,0.000013
-103.115623,0.000013
-103.104211,0.000013
-103.092800,0.000013
-103.081388,0.000013
-103.069976,0.000013
-103.058565,0.000014
-103.047153,0.000014
-103.035742,0.000014
-103.024330,0.000014
-103.012919,0.000014
-103.001507,0.000014
-102.990096,0.000014
-102.978684,0.000014
-102.967273,0.000014
-102.955861,0.000014
-102.944450,0.000014
-102.933038,0.000014
-102.921627,0.000014
-102.910215,0.000014
-102.898803,0.000014
-102.887392,0.000014
-102.875980,0.000014
-102.864569,0.000014
-102.853157,0.000014
-102.841746,0.000014
-102.830334,0.000014
-102.818923,0.000014
-102.807511,0.000014
