# This file was generated with SimpNMR v1.6.0 at 10:40:14 16-03-2026 
# 
Temperature (K),chi_iso (Å^3),chi_iso-s-dev (Å^3),chi_ax (Å^3),chi_ax-s-dev (Å^3),chi_rho (Å^3),chi_rho-s-dev (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees),r2 (),r2_adjusted (),MAE (ppm),RMSE (ppm),chi_dxx-s-dev (Å^3),chi_dxy-s-dev (Å^3),chi_dxz-s-dev (Å^3),chi_dyy-s-dev (Å^3),chi_dyz-s-dev (Å^3)
247.250000,0.221808,0.021971,0.241788,0.186903,0.037213,0.068867,0.178217,-0.016090,-0.014006,0.128057,0.075105,0.359150,-0.043591,-0.016090,-0.014006,-0.093751,0.075105,0.137342,0.103999,0.178425,0.383000,-119.720400,18.192829,-113.375222,0.611066,0.494386,174.324685,255.131178,0.090960,0.074956,0.103863,0.088957,0.100909
252.270000,0.217477,0.021539,0.236241,0.183206,0.036477,0.067541,0.175008,-0.015806,-0.013731,0.125908,0.073608,0.351514,-0.042469,-0.015806,-0.013731,-0.091569,0.073608,0.134037,0.102253,0.175207,0.374971,-119.685237,18.240562,-113.308491,0.612408,0.496131,170.985316,250.118298,0.089173,0.073483,0.101822,0.087209,0.098926
257.270000,0.212595,0.021051,0.233215,0.179127,0.035558,0.065950,0.170187,-0.015460,-0.013477,0.122212,0.071925,0.345385,-0.042408,-0.015460,-0.013477,-0.090383,0.071925,0.132790,0.099299,0.170415,0.368072,-120.102683,18.130668,-113.784661,0.612880,0.496743,167.309591,244.450479,0.087152,0.071818,0.099515,0.085233,0.096684
262.290000,0.208354,0.020629,0.228594,0.175539,0.034834,0.064630,0.166764,-0.015166,-0.013215,0.119774,0.070476,0.338525,-0.041590,-0.015166,-0.013215,-0.088581,0.070476,0.130171,0.097322,0.166990,0.360751,-120.155368,18.133136,-113.833519,0.613035,0.496946,163.934506,239.552465,0.085406,0.070379,0.097521,0.083525,0.094747
267.280000,0.204315,0.020226,0.224712,0.172125,0.034114,0.063355,0.163290,-0.014893,-0.012980,0.117259,0.069081,0.332396,-0.041025,-0.014893,-0.012980,-0.087056,0.069081,0.128081,0.095297,0.163525,0.354123,-120.325864,18.111479,-114.012675,0.613659,0.497757,160.796225,234.867709,0.083736,0.069003,0.095614,0.081892,0.092894
272.250000,0.200436,0.019840,0.220155,0.168833,0.033450,0.062157,0.160270,-0.014629,-0.012737,0.115167,0.067748,0.325871,-0.040166,-0.014629,-0.012737,-0.085269,0.067748,0.125435,0.093601,0.160501,0.347206,-120.344587,18.131854,-114.017109,0.614592,0.498969,157.808206,230.386984,0.082138,0.067686,0.093790,0.080330,0.091122
277.290000,0.196683,0.019467,0.216272,0.165669,0.032808,0.060985,0.157169,-0.014364,-0.012508,0.112924,0.066469,0.319956,-0.039514,-0.014364,-0.012508,-0.083759,0.066469,0.123273,0.091785,0.157400,0.340864,-120.417005,18.121866,-114.093138,0.614710,0.499122,154.873882,226.059503,0.080595,0.066415,0.092028,0.078821,0.089410
282.300000,0.193064,0.019106,0.212609,0.162609,0.032169,0.059849,0.154127,-0.014122,-0.012297,0.110743,0.065219,0.314322,-0.038937,-0.014122,-0.012297,-0.082321,0.065219,0.121258,0.090025,0.154363,0.334803,-120.555983,18.111683,-114.233409,0.615386,0.500002,152.100829,221.868480,0.079101,0.065183,0.090322,0.077359,0.087753
287.300000,0.189595,0.018760,0.209154,0.159677,0.031556,0.058759,0.151191,-0.013884,-0.012090,0.108630,0.064025,0.308963,-0.038403,-0.013884,-0.012090,-0.080965,0.064025,0.119368,0.088321,0.151432,0.329031,-120.688671,18.097513,-114.371843,0.616010,0.500812,149.386774,217.852015,0.077669,0.064003,0.088687,0.075959,0.086164
292.280000,0.186213,0.018424,0.205774,0.156826,0.030966,0.057698,0.148343,-0.013648,-0.011888,0.106569,0.062866,0.303727,-0.037870,-0.013648,-0.011888,-0.079644,0.062866,0.117514,0.086656,0.148587,0.323395,-120.802728,18.082412,-114.492301,0.616483,0.501428,146.776302,213.945734,0.076276,0.062856,0.087097,0.074597,0.084619
297.220000,0.182951,0.018100,0.202195,0.154071,0.030410,0.056685,0.145720,-0.013421,-0.011687,0.104702,0.061752,0.298432,-0.037231,-0.013421,-0.011687,-0.078249,0.061752,0.115480,0.085143,0.145963,0.317748,-120.852275,18.084776,-114.538180,0.616840,0.501892,144.235890,210.186032,0.074936,0.061751,0.085566,0.073286,0.083132
302.170000,0.179780,0.017785,0.199060,0.151397,0.029856,0.055690,0.143036,-0.013201,-0.011499,0.102756,0.060664,0.293548,-0.036744,-0.013201,-0.011499,-0.077024,0.060664,0.113768,0.083571,0.143283,0.312487,-120.975835,18.068484,-114.668454,0.617248,0.502423,141.784359,206.522400,0.073630,0.060675,0.084075,0.072009,0.081683
