#temperature 302.15,,,,
#magnetic_field 4.7,,,,
#isotope 1H,,,,
signal_label,shift (ppm),width (Hz),area (),r1 (Hz)
py6,115.601,160.3,1,332
c5ax,115.601,160.3,1,332
c3ax,85.571,136.7,1,248
c7ax,54.179,130.1,1,277
c4eq,50.904,78.6,1,101
c5eq,50.021,64.1,1,100
c1ax,36.304,135.6,1,250
c4ax,33.429,106,1,270
c3eq,27.066,71.6,1,89
c6eq,21.086,84.4,1,92
py4,18.976,53.3,1,9.8
tBu,16.326,45.2,9,11.1
a2eq,11.992,62.5,1,63
py3,6.12,46.9,1,18
c7eq,1.916,73.9,1,81
Me3,-9.366,69.5,3,42
Me1,-9.366,69.5,3,42
c6ax,-9.366,69.5,1,42
c2eq,-13.814,65.7,1,68
c8eq,-14.399,54.3,1,61
c1eq,-18.597,80.5,1,64
Me2,-26.266,62.7,4,38
a3eq,-27.003,54.9,1,50
apeq,-28.334,76.9,2,50
a1eq,-28.728,58,1,54
a2ax,-30.705,105.5,1,186
a1ax,-38.655,129.9,1,183
c8ax,-40.465,103.9,1,149
a3ax,-49.939,101.8,1,172
apax,-64.099,101.4,1,182
c2ax,-76.411,91.7,1,135
,,,,
,,,,
,,,,
