# This file was generated with ParaNMR v1.15.0 at 19:39:25 23-07-2026 
# T = 302.15 K
signal_label,δ_total_avg (ppm),δ_dia_avg (ppm),δ_pc_avg (ppm),δ_fc_avg (ppm),linewidth_r6_fit (ppm)
CH3(C10),-5.889471,-2.694333,-3.195137,0.000000,0.532867
CH3(C12),-10.159899,-2.536667,-7.623232,0.000000,0.513476
CH3(C14),-16.853820,-2.718667,-14.135153,0.000000,0.456056
CH3(C22),8.295580,-2.635000,10.930580,0.000000,0.391098
CH3(C23),0.486253,-2.446000,2.932253,0.000000,0.385206
CH3(C24),13.260497,-2.307000,15.567497,0.000000,0.408239
H1,86.877328,0.291000,86.586328,0.000000,0.896534
H10,87.129340,-0.001000,87.130340,0.000000,0.839868
H11,8.897719,-0.874000,9.771719,0.000000,0.553593
H12,-40.851253,1.535000,-42.386253,0.000000,0.809621
H13,86.235713,-0.043000,86.278713,0.000000,0.852208
H14,18.263689,-1.039000,19.302689,0.000000,0.569867
H15,19.872131,-0.886000,20.758131,0.000000,0.578427
H16,-8.154460,-0.145000,-8.009460,0.000000,0.979586
H17,-56.834837,0.853000,-57.687837,0.000000,1.110051
H18,-38.408070,-0.550000,-37.858070,0.000000,0.592808
H2,12.914743,-0.758000,13.672743,0.000000,0.577808
H22,-74.166057,1.095000,-75.261057,0.000000,1.088967
H23,-20.919136,-0.749000,-20.170136,0.000000,0.586804
H27,-57.596913,-0.479000,-57.117913,0.000000,1.031105
H28,-36.664064,-0.704000,-35.960064,0.000000,0.580710
H3,-57.534319,1.464000,-58.998319,0.000000,0.915914
H32,-74.641998,2.169000,-76.810998,0.000000,1.070309
H33,-22.081488,0.670000,-22.751488,0.000000,0.590669
H34,-6.518243,5.102000,-11.620243,0.000000,0.428125
H35,5.991191,5.886000,0.105191,0.000000,0.398779
H36,70.194955,7.008000,63.186955,0.000000,1.070032
H4,1.431946,-0.689000,2.120946,0.000000,0.570922
H5,84.865378,0.050000,84.815378,0.000000,0.841888
H6,18.008730,-0.729000,18.737730,0.000000,0.566646
H7,-2.585718,1.250000,-3.835718,0.000000,0.921072
H8,22.826576,-0.814000,23.640576,0.000000,0.564857
H9,17.312895,-1.042000,18.354895,0.000000,0.557433
