# This file was generated with ParaNMR v1.14.0 at 12:34:40 21-07-2026 
shift (ppm),intensity (a.u.)
-92.939460,0.000354
-92.937476,0.000354
-92.935493,0.000354
-92.933509,0.000354
-92.931525,0.000354
-92.929541,0.000354
-92.927558,0.000354
-92.925574,0.000354
-92.923590,0.000355
-92.921607,0.000355
-92.919623,0.000355
-92.917639,0.000355
-92.915656,0.000355
-92.913672,0.000355
-92.911688,0.000355
-92.909705,0.000355
-92.907721,0.000355
-92.905737,0.000355
-92.903754,0.000355
-92.901770,0.000355
-92.899786,0.000355
-92.897803,0.000355
-92.895819,0.000355
-92.893835,0.000355
-92.891852,0.000355
-92.889868,0.000355
-92.887884,0.000356
-92.885901,0.000356
-92.883917,0.000356
-92.881933,0.000356
-92.879950,0.000356
-92.877966,0.000356
-92.875982,0.000356
-92.873998,0.000356
-92.872015,0.000356
-92.870031,0.000356
-92.868047,0.000356
-92.866064,0.000356
-92.864080,0.000356
-92.862096,0.000356
-92.860113,0.000356
-92.858129,0.000356
-92.856145,0.000356
-92.854162,0.000356
-92.852178,0.000357
-92.850194,0.000357
-92.848211,0.000357
-92.846227,0.000357
-92.844243,0.000357
-92.842260,0.000357
-92.840276,0.000357
-92.838292,0.000357
-92.836309,0.000357
-92.834325,0.000357
-92.832341,0.000357
-92.830358,0.000357
-92.828374,0.000357
-92.826390,0.000357
-92.824407,0.000357
-92.822423,0.000357
-92.820439,0.000357
-92.818455,0.000357
-92.816472,0.000357
-92.814488,0.000358
-92.812504,0.000358
-92.810521,0.000358
-92.808537,0.000358
-92.806553,0.000358
-92.804570,0.000358
-92.802586,0.000358
-92.800602,0.000358
-92.798619,0.000358
-92.796635,0.000358
-92.794651,0.000358
-92.792668,0.000358
-92.790684,0.000358
-92.788700,0.000358
-92.786717,0.000358
-92.784733,0.000358
-92.782749,0.000358
-92.780766,0.000358
-92.778782,0.000359
-92.776798,0.000359
-92.774815,0.000359
-92.772831,0.000359
-92.770847,0.000359
-92.768864,0.000359
-92.766880,0.000359
-92.764896,0.000359
-92.762912,0.000359
-92.760929,0.000359
-92.758945,0.000359
-92.756961,0.000359
-92.754978,0.000359
-92.752994,0.000359
-92.751010,0.000359
-92.749027,0.000359
-92.747043,0.000359
-92.745059,0.000359
-92.743076,0.000360
-92.741092,0.000360
-92.739108,0.000360
-92.737125,0.000360
-92.735141,0.000360
-92.733157,0.000360
-92.731174,0.000360
-92.729190,0.000360
-92.727206,0.000360
-92.725223,0.000360
-92.723239,0.000360
-92.721255,0.000360
-92.719272,0.000360
-92.717288,0.000360
-92.715304,0.000360
-92.713320,0.000360
-92.711337,0.000360
-92.709353,0.000360
-92.707369,0.000361
-92.705386,0.000361
-92.703402,0.000361
-92.701418,0.000361
-92.699435,0.000361
-92.697451,0.000361
-92.695467,0.000361
-92.693484,0.000361
-92.691500,0.000361
-92.689516,0.000361
-92.687533,0.000361
-92.685549,0.000361
-92.683565,0.000361
-92.681582,0.000361
-92.679598,0.000361
-92.677614,0.000361
-92.675631,0.000361
-92.673647,0.000361
-92.671663,0.000362
-92.669680,0.000362
-92.667696,0.000362
-92.665712,0.000362
-92.663729,0.000362
-92.661745,0.000362
-92.659761,0.000362
-92.657777,0.000362
-92.655794,0.000362
-92.653810,0.000362
-92.651826,0.000362
-92.649843,0.000362
-92.647859,0.000362
-92.645875,0.000362
-92.643892,0.000362
-92.641908,0.000362
-92.639924,0.000362
-92.637941,0.000362
-92.635957,0.000363
-92.633973,0.000363
-92.631990,0.000363
-92.630006,0.000363
-92.628022,0.000363
-92.626039,0.000363
-92.624055,0.000363
-92.622071,0.000363
-92.620088,0.000363
-92.618104,0.000363
-92.616120,0.000363
-92.614137,0.000363
-92.612153,0.000363
-92.610169,0.000363
-92.608186,0.000363
-92.606202,0.000363
-92.604218,0.000363
-92.602234,0.000364
-92.600251,0.000364
-92.598267,0.000364
-92.596283,0.000364
-92.594300,0.000364
-92.592316,0.000364
-92.590332,0.000364
-92.588349,0.000364
-92.586365,0.000364
-92.584381,0.000364
-92.582398,0.000364
-92.580414,0.000364
-92.578430,0.000364
-92.576447,0.000364
-92.574463,0.000364
-92.572479,0.000364
-92.570496,0.000364
-92.568512,0.000364
-92.566528,0.000365
-92.564545,0.000365
-92.562561,0.000365
-92.560577,0.000365
-92.558594,0.000365
-92.556610,0.000365
-92.554626,0.000365
-92.552643,0.000365
-92.550659,0.000365
-92.548675,0.000365
-92.546691,0.000365
-92.544708,0.000365
-92.542724,0.000365
-92.540740,0.000365
-92.538757,0.000365
-92.536773,0.000365
-92.534789,0.000365
-92.532806,0.000366
-92.530822,0.000366
-92.528838,0.000366
-92.526855,0.000366
-92.524871,0.000366
-92.522887,0.000366
-92.520904,0.000366
-92.518920,0.000366
-92.516936,0.000366
-92.514953,0.000366
-92.512969,0.000366
-92.510985,0.000366
-92.509002,0.000366
-92.507018,0.000366
-92.505034,0.000366
-92.503051,0.000366
-92.501067,0.000366
-92.499083,0.000366
-92.497100,0.000367
-92.495116,0.000367
-92.493132,0.000367
-92.491148,0.000367
