# This file was generated with ParaNMR v1.15.0 at 19:05:32 23-07-2026 
# T = 302.15 K
signal_label,δ_total_avg (ppm),δ_dia_avg (ppm),δ_pc_avg (ppm),δ_fc_avg (ppm),linewidth_r6_fit (ppm)
CH3(C10),-6.493447,-2.694333,-3.799113,0.000000,0.611192
CH3(C12),-10.062044,-2.536667,-7.525377,0.000000,0.591793
CH3(C14),-17.443155,-2.718667,-14.724488,0.000000,0.534351
CH3(C22),8.760479,-2.635000,11.395479,0.000000,0.469368
CH3(C23),0.201165,-2.446000,2.647165,0.000000,0.463474
CH3(C24),13.810278,-2.307000,16.117278,0.000000,0.486516
H1,92.544046,0.291000,92.253046,0.000000,0.974999
H10,92.642771,-0.001000,92.643771,0.000000,0.918311
H11,10.918964,-0.874000,11.792964,0.000000,0.631926
H12,-38.851147,1.535000,-40.386147,0.000000,0.888053
H13,90.424898,-0.043000,90.467898,0.000000,0.930656
H14,18.159009,-1.039000,19.198009,0.000000,0.648206
H15,19.180114,-0.886000,20.066114,0.000000,0.656770
H16,-14.311822,-0.145000,-14.166822,0.000000,1.058083
H17,-64.375727,0.853000,-65.228727,0.000000,1.188598
H18,-40.336485,-0.550000,-39.786485,0.000000,0.671156
H2,14.856675,-0.758000,15.614675,0.000000,0.656150
H22,-74.309716,1.095000,-75.404716,0.000000,1.167506
H23,-22.278401,-0.749000,-21.529401,0.000000,0.665149
H27,-64.192868,-0.479000,-63.713868,0.000000,1.109622
H28,-38.145201,-0.704000,-37.441201,0.000000,0.659053
H3,-55.636677,1.464000,-57.100677,0.000000,0.994386
H32,-74.935318,2.169000,-77.104318,0.000000,1.148841
H33,-23.617482,0.670000,-24.287482,0.000000,0.669016
H34,-7.818192,5.102000,-12.920192,0.000000,0.506409
H35,5.382104,5.886000,-0.503896,0.000000,0.477052
H36,71.147485,7.008000,64.139485,0.000000,1.148564
H4,3.317803,-0.689000,4.006803,0.000000,0.649261
H5,89.148393,0.050000,89.098393,0.000000,0.920332
H6,17.987225,-0.729000,18.716225,0.000000,0.644984
H7,-8.037813,1.250000,-9.287813,0.000000,0.999547
H8,22.491229,-0.814000,23.305229,0.000000,0.643194
H9,19.334070,-1.042000,20.376070,0.000000,0.635767
