# This file was generated with ParaNMR v1.14.0 at 14:28:03 20-07-2026 
shift (ppm),intensity (a.u.)
-94.885153,0.000136
-94.883135,0.000136
-94.881117,0.000136
-94.879099,0.000136
-94.877081,0.000137
-94.875062,0.000137
-94.873044,0.000137
-94.871026,0.000137
-94.869008,0.000137
-94.866990,0.000137
-94.864971,0.000137
-94.862953,0.000137
-94.860935,0.000137
-94.858917,0.000137
-94.856899,0.000137
-94.854881,0.000137
-94.852862,0.000137
-94.850844,0.000137
-94.848826,0.000137
-94.846808,0.000137
-94.844790,0.000137
-94.842771,0.000137
-94.840753,0.000137
-94.838735,0.000137
-94.836717,0.000137
-94.834699,0.000137
-94.832680,0.000137
-94.830662,0.000137
-94.828644,0.000137
-94.826626,0.000137
-94.824608,0.000137
-94.822590,0.000137
-94.820571,0.000137
-94.818553,0.000137
-94.816535,0.000137
-94.814517,0.000137
-94.812499,0.000137
-94.810480,0.000137
-94.808462,0.000137
-94.806444,0.000137
-94.804426,0.000137
-94.802408,0.000137
-94.800389,0.000137
-94.798371,0.000137
-94.796353,0.000137
-94.794335,0.000137
-94.792317,0.000137
-94.790299,0.000137
-94.788280,0.000137
-94.786262,0.000137
-94.784244,0.000138
-94.782226,0.000138
-94.780208,0.000138
-94.778189,0.000138
-94.776171,0.000138
-94.774153,0.000138
-94.772135,0.000138
-94.770117,0.000138
-94.768098,0.000138
-94.766080,0.000138
-94.764062,0.000138
-94.762044,0.000138
-94.760026,0.000138
-94.758008,0.000138
-94.755989,0.000138
-94.753971,0.000138
-94.751953,0.000138
-94.749935,0.000138
-94.747917,0.000138
-94.745898,0.000138
-94.743880,0.000138
-94.741862,0.000138
-94.739844,0.000138
-94.737826,0.000138
-94.735807,0.000138
-94.733789,0.000138
-94.731771,0.000138
-94.729753,0.000138
-94.727735,0.000138
-94.725717,0.000138
-94.723698,0.000138
-94.721680,0.000138
-94.719662,0.000138
-94.717644,0.000138
-94.715626,0.000138
-94.713607,0.000138
-94.711589,0.000138
-94.709571,0.000138
-94.707553,0.000138
-94.705535,0.000138
-94.703516,0.000138
-94.701498,0.000138
-94.699480,0.000138
-94.697462,0.000138
-94.695444,0.000138
-94.693426,0.000138
-94.691407,0.000139
-94.689389,0.000139
-94.687371,0.000139
-94.685353,0.000139
-94.683335,0.000139
-94.681316,0.000139
-94.679298,0.000139
-94.677280,0.000139
-94.675262,0.000139
-94.673244,0.000139
-94.671225,0.000139
-94.669207,0.000139
-94.667189,0.000139
-94.665171,0.000139
-94.663153,0.000139
-94.661135,0.000139
-94.659116,0.000139
-94.657098,0.000139
-94.655080,0.000139
-94.653062,0.000139
-94.651044,0.000139
-94.649025,0.000139
-94.647007,0.000139
-94.644989,0.000139
-94.642971,0.000139
-94.640953,0.000139
-94.638934,0.000139
-94.636916,0.000139
-94.634898,0.000139
-94.632880,0.000139
-94.630862,0.000139
-94.628844,0.000139
-94.626825,0.000139
-94.624807,0.000139
-94.622789,0.000139
-94.620771,0.000139
-94.618753,0.000139
-94.616734,0.000139
-94.614716,0.000139
-94.612698,0.000139
-94.610680,0.000139
-94.608662,0.000139
-94.606643,0.000139
-94.604625,0.000139
-94.602607,0.000140
-94.600589,0.000140
-94.598571,0.000140
-94.596553,0.000140
-94.594534,0.000140
-94.592516,0.000140
-94.590498,0.000140
-94.588480,0.000140
-94.586462,0.000140
-94.584443,0.000140
-94.582425,0.000140
-94.580407,0.000140
-94.578389,0.000140
-94.576371,0.000140
-94.574352,0.000140
-94.572334,0.000140
-94.570316,0.000140
-94.568298,0.000140
-94.566280,0.000140
-94.564262,0.000140
-94.562243,0.000140
-94.560225,0.000140
-94.558207,0.000140
-94.556189,0.000140
-94.554171,0.000140
-94.552152,0.000140
-94.550134,0.000140
-94.548116,0.000140
-94.546098,0.000140
-94.544080,0.000140
-94.542061,0.000140
-94.540043,0.000140
-94.538025,0.000140
-94.536007,0.000140
-94.533989,0.000140
-94.531971,0.000140
-94.529952,0.000140
-94.527934,0.000140
-94.525916,0.000140
-94.523898,0.000140
-94.521880,0.000140
-94.519861,0.000140
-94.517843,0.000140
-94.515825,0.000140
-94.513807,0.000141
-94.511789,0.000141
-94.509770,0.000141
-94.507752,0.000141
-94.505734,0.000141
-94.503716,0.000141
-94.501698,0.000141
-94.499680,0.000141
-94.497661,0.000141
-94.495643,0.000141
-94.493625,0.000141
-94.491607,0.000141
-94.489589,0.000141
-94.487570,0.000141
-94.485552,0.000141
-94.483534,0.000141
-94.481516,0.000141
-94.479498,0.000141
-94.477479,0.000141
-94.475461,0.000141
-94.473443,0.000141
