# This file was generated with ParaNMR v1.12.3 at 12:50:00 06-07-2026 
# Hyperfines from file /Users/mephistos/git/paranmr/examples/YbL8/DATA/HFC/YbL8.xyz
Diamagnetic shifts from file /Users/mephistos/git/paranmr/examples/YbL8/DATA/DIA/LuL8_DIA_NMR.out
Diamagnetic reference from file /Users/mephistos/git/paranmr/examples/YbL8/DATA/DIA/tms_ref.out
T = 302.15 K
atom_label (),signal_label (),x (Å),y (Å),z (Å),A_fc_iso (ppm Å^-3),A_sd_xx (ppm Å^-3),A_sd_xy (ppm Å^-3),A_sd_xz (ppm Å^-3),A_sd_yy (ppm Å^-3),A_sd_yz (ppm Å^-3),A_sd_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_pc (ppm),δ_fc (ppm)
Yb1,,0.000000,0.000000,0.000000,,,,,,,,,,,
P1,,0.686055,-3.145482,-0.856224,,,,,,,,,,,
P2,,-3.247076,-0.642993,-0.710645,,,,,,,,,,,
P3,,-0.876442,3.161830,-0.699177,,,,,,,,,,,
O1,,0.999797,-1.672833,-1.053402,,,,,,,,,,,
O2,,1.868782,-4.054085,-0.663276,,,,,,,,,,,
O3,,-1.769623,-0.902860,-0.995888,,,,,,,,,,,
O4,,-4.110768,-1.848591,-0.547381,,,,,,,,,,,
O5,,-0.656442,1.741262,-1.178242,,,,,,,,,,,
O6,,-2.299179,3.532626,-0.423556,,,,,,,,,,,
N1,,2.066087,0.000000,1.503174,,,,,,,,,,,
N2,,-0.005242,-2.085277,1.536820,,,,,,,,,,,
N3,,-2.050663,0.002951,1.633329,,,,,,,,,,,
N4,,-0.010182,2.082326,1.618821,,,,,,,,,,,
N5,,2.136309,0.864261,-1.122700,,,,,,,,,,,
C1,,1.952943,-1.009424,2.605557,,,,,,,,,,,
C2,,1.353218,-2.311753,2.125243,,,,,,,,,,,
C3,,-0.981295,-1.989519,2.651382,,,,,,,,,,,
C4,,-2.289724,-1.342545,2.182311,,,,,,,,,,,
C5,,-1.894884,0.961029,2.765437,,,,,,,,,,,
C6,,-1.320381,2.261396,2.334547,,,,,,,,,,,
C7,,1.058001,1.957299,2.621936,,,,,,,,,,,
C8,,2.308249,1.367444,2.067100,,,,,,,,,,,
C9,,-0.360347,-3.230972,0.628184,,,,,,,,,,,
C10,,-0.323892,-3.697729,-2.227861,,,,,,,,,,,
C11,,-3.205627,0.374135,0.824713,,,,,,,,,,,
C12,,-3.930095,0.450116,-1.966201,,,,,,,,,,,
C13,,0.207871,3.263746,0.755481,,,,,,,,,,,
C14,,-0.151570,4.354034,-1.856309,,,,,,,,,,,
C15,,3.244891,-0.369222,0.656534,,,,,,,,,,,
C16,,3.309480,0.429799,-0.623049,,,,,,,,,,,
C17,,4.509542,0.677313,-1.221359,,,,,,,,,,,
C18,,4.512628,1.272368,-2.482648,,,,,,,,,,,
C19,,3.332116,1.683412,-3.067602,,,,,,,,,,,
C20,,2.167242,1.479068,-2.314581,,,,,,,,,,,
C21,,3.339997,2.263330,-4.476844,,,,,,,,,,,
C22,,3.706785,1.140398,-5.454062,,,,,,,,,,,
C23,,4.377779,3.393986,-4.583485,,,,,,,,,,,
C24,,1.969420,2.855393,-4.867502,,,,,,,,,,,
H1,c1ax,1.384571,-0.638196,3.328918,0.000000,-925.721464,-320.575704,1672.166101,-1473.448093,-770.758834,2399.169557,31.157021,0.291000,30.866021,0.000000
H2,c1eq,2.850782,-1.182009,2.982474,0.000000,325.817140,-552.479601,1394.029477,-777.585710,-578.001505,451.768571,-22.645850,-0.758000,-21.887850,0.000000
