# This file was generated with ParaNMR v1.12.3 at 12:50:00 06-07-2026 
# T = 302.15 K
signal_label,δ_total_avg (ppm),δ_dia_avg (ppm),δ_pc_avg (ppm),δ_fc_avg (ppm),linewidth_exp (ppm)
Me1,-12.352214,-2.694333,-9.657881,0.000000,0.347302
Me2,-30.733214,-2.536667,-28.196548,0.000000,0.313321
Me3,-15.206060,-2.718667,-12.487394,0.000000,0.347302
a1ax,-43.784205,0.853000,-44.637205,0.000000,0.649130
a1eq,-33.182815,-0.550000,-32.632815,0.000000,0.289835
a2ax,-36.295536,1.095000,-37.390536,0.000000,0.527199
a2eq,8.161325,-0.749000,8.910325,0.000000,0.312322
a3ax,-57.326049,-0.479000,-56.847049,0.000000,0.508710
a3eq,-33.711045,-0.704000,-33.007045,0.000000,0.274343
apax,-73.404263,2.169000,-75.573263,0.000000,0.506711
apeq,-35.476260,0.670000,-36.146260,0.000000,0.384281
c1ax,31.157021,0.291000,30.866021,0.000000,0.677613
c1eq,-22.645850,-0.758000,-21.887850,0.000000,0.402270
c2ax,-74.336531,1.464000,-75.800531,0.000000,0.458238
c2eq,-14.118173,-0.689000,-13.429173,0.000000,0.328313
c3ax,86.610666,0.050000,86.560666,0.000000,0.683110
c3eq,28.096405,-0.729000,28.825405,0.000000,0.357796
c4ax,38.468361,1.250000,37.218361,0.000000,0.529698
c4eq,53.206345,-0.814000,54.020345,0.000000,0.392776
c5ax,108.300485,-0.001000,108.301485,0.000000,0.801043
c5eq,47.237856,-1.042000,48.279856,0.000000,0.320317
c6ax,-9.902374,1.535000,-11.437374,0.000000,0.347302
c6eq,18.613182,-0.874000,19.487182,0.000000,0.421759
c7ax,49.100673,-0.043000,49.143673,0.000000,0.650129
c7eq,-1.501867,-1.039000,-0.462867,0.000000,0.369289
c8ax,-41.638642,-0.145000,-41.493642,0.000000,0.519204
c8eq,-16.385975,-0.886000,-15.499975,0.000000,0.271345
py3,2.503315,5.102000,-2.598685,0.000000,0.234366
py4,16.488688,5.886000,10.602688,0.000000,0.266348
py6,100.943430,7.008000,93.935430,0.000000,0.801043
tBu,12.385776,-2.462667,14.848443,0.000000,0.225871
