# This file was generated with ParaNMR v1.12.3 at 12:49:45 06-07-2026 
shift (ppm),intensity (a.u.)
-97.079633,0.000026
-97.077352,0.000026
-97.075070,0.000026
-97.072789,0.000026
-97.070508,0.000026
-97.068227,0.000026
-97.065945,0.000026
-97.063664,0.000026
-97.061383,0.000026
-97.059102,0.000026
-97.056820,0.000026
-97.054539,0.000026
-97.052258,0.000026
-97.049977,0.000026
-97.047695,0.000026
-97.045414,0.000026
-97.043133,0.000026
-97.040852,0.000026
-97.038570,0.000026
-97.036289,0.000026
-97.034008,0.000026
-97.031727,0.000026
-97.029445,0.000026
-97.027164,0.000026
-97.024883,0.000026
-97.022602,0.000026
-97.020320,0.000026
-97.018039,0.000026
-97.015758,0.000026
-97.013477,0.000026
-97.011195,0.000026
-97.008914,0.000026
-97.006633,0.000026
-97.004352,0.000026
-97.002070,0.000026
-96.999789,0.000026
-96.997508,0.000026
-96.995227,0.000026
-96.992945,0.000026
-96.990664,0.000026
-96.988383,0.000026
-96.986102,0.000026
-96.983820,0.000026
-96.981539,0.000026
-96.979258,0.000026
-96.976977,0.000026
-96.974695,0.000026
-96.972414,0.000026
-96.970133,0.000026
-96.967852,0.000026
-96.965570,0.000026
-96.963289,0.000026
-96.961008,0.000026
-96.958726,0.000026
-96.956445,0.000026
-96.954164,0.000026
-96.951883,0.000026
-96.949601,0.000026
-96.947320,0.000026
-96.945039,0.000026
-96.942758,0.000026
-96.940476,0.000026
-96.938195,0.000026
-96.935914,0.000026
-96.933633,0.000026
-96.931351,0.000026
-96.929070,0.000026
-96.926789,0.000026
-96.924508,0.000026
-96.922226,0.000026
-96.919945,0.000026
-96.917664,0.000026
-96.915383,0.000026
-96.913101,0.000026
-96.910820,0.000026
-96.908539,0.000026
-96.906258,0.000026
-96.903976,0.000026
-96.901695,0.000026
-96.899414,0.000026
-96.897133,0.000026
-96.894851,0.000026
-96.892570,0.000026
-96.890289,0.000026
-96.888008,0.000026
-96.885726,0.000026
-96.883445,0.000026
-96.881164,0.000026
-96.878883,0.000026
-96.876601,0.000026
-96.874320,0.000026
-96.872039,0.000026
-96.869758,0.000026
-96.867476,0.000026
-96.865195,0.000026
-96.862914,0.000026
-96.860633,0.000026
-96.858351,0.000026
-96.856070,0.000026
-96.853789,0.000026
-96.851508,0.000026
-96.849226,0.000026
-96.846945,0.000026
-96.844664,0.000026
-96.842382,0.000026
-96.840101,0.000026
-96.837820,0.000026
-96.835539,0.000026
-96.833257,0.000026
-96.830976,0.000026
-96.828695,0.000026
-96.826414,0.000026
-96.824132,0.000026
-96.821851,0.000026
-96.819570,0.000026
-96.817289,0.000026
-96.815007,0.000026
-96.812726,0.000026
-96.810445,0.000026
-96.808164,0.000026
-96.805882,0.000026
-96.803601,0.000026
-96.801320,0.000026
-96.799039,0.000026
-96.796757,0.000026
-96.794476,0.000026
-96.792195,0.000026
-96.789914,0.000026
-96.787632,0.000026
-96.785351,0.000026
-96.783070,0.000026
-96.780789,0.000026
-96.778507,0.000026
-96.776226,0.000026
-96.773945,0.000026
-96.771664,0.000026
-96.769382,0.000026
-96.767101,0.000026
-96.764820,0.000026
-96.762539,0.000026
-96.760257,0.000026
-96.757976,0.000026
-96.755695,0.000026
-96.753414,0.000026
-96.751132,0.000026
-96.748851,0.000026
-96.746570,0.000026
-96.744289,0.000026
-96.742007,0.000026
-96.739726,0.000026
-96.737445,0.000026
-96.735163,0.000026
-96.732882,0.000026
-96.730601,0.000026
-96.728320,0.000026
-96.726038,0.000026
-96.723757,0.000027
-96.721476,0.000027
-96.719195,0.000027
-96.716913,0.000027
-96.714632,0.000027
-96.712351,0.000027
-96.710070,0.000027
-96.707788,0.000027
-96.705507,0.000027
-96.703226,0.000027
-96.700945,0.000027
-96.698663,0.000027
-96.696382,0.000027
-96.694101,0.000027
-96.691820,0.000027
-96.689538,0.000027
-96.687257,0.000027
-96.684976,0.000027
-96.682695,0.000027
-96.680413,0.000027
-96.678132,0.000027
-96.675851,0.000027
-96.673570,0.000027
-96.671288,0.000027
-96.669007,0.000027
-96.666726,0.000027
-96.664445,0.000027
-96.662163,0.000027
-96.659882,0.000027
-96.657601,0.000027
-96.655320,0.000027
-96.653038,0.000027
-96.650757,0.000027
-96.648476,0.000027
-96.646195,0.000027
-96.643913,0.000027
-96.641632,0.000027
-96.639351,0.000027
-96.637070,0.000027
-96.634788,0.000027
-96.632507,0.000027
-96.630226,0.000027
-96.627945,0.000027
-96.625663,0.000027
-96.623382,0.000027
-96.621101,0.000027
-96.618819,0.000027
-96.616538,0.000027
-96.614257,0.000027
-96.611976,0.000027
-96.609694,0.000027
-96.607413,0.000027
-96.605132,0.000027
-96.602851,0.000027
-96.600569,0.000027
-96.598288,0.000027
-96.596007,0.000027
-96.593726,0.000027
-96.591444,0.000027
-96.589163,0.000027
-96.586882,0.000027
-96.584601,0.000027
-96.582319,0.000027
-96.580038,0.000027
-96.577757,0.000027
-96.575476,0.000027
-96.573194,0.000027
-96.570913,0.000027
-96.568632,0.000027
-96.566351,0.000027
-96.564069,0.000027
-96.561788,0.000027
-96.559507,0.000027
-96.557226,0.000027
-96.554944,0.000027
-96.552663,0.000027
-96.550382,0.000027
-96.548101,0.000027
-96.545819,0.000027
-96.543538,0.000027
-96.541257,0.000027
-96.538976,0.000027
-96.536694,0.000027
-96.534413,0.000027
-96.532132,0.000027
-96.529851,0.000027
-96.527569,0.000027
-96.525288,0.000027
-96.523007,0.000027
-96.520726,0.000027
-96.518444,0.000027
-96.516163,0.000027
-96.513882,0.000027
-96.511601,0.000027
-96.509319,0.000027
-96.507038,0.000027
-96.504757,0.000027
-96.502475,0.000027
-96.500194,0.000027
-96.497913,0.000027
-96.495632,0.000027
-96.493350,0.000027
-96.491069,0.000027
-96.488788,0.000027
-96.486507,0.000027
-96.484225,0.000027
-96.481944,0.000027
-96.479663,0.000027
-96.477382,0.000027
-96.475100,0.000027
-96.472819,0.000027
-96.470538,0.000027
-96.468257,0.000027
-96.465975,0.000027
-96.463694,0.000027
-96.461413,0.000027
-96.459132,0.000027
-96.456850,0.000027
-96.454569,0.000027
-96.452288,0.000027
-96.450007,0.000027
-96.447725,0.000027
-96.445444,0.000027
-96.443163,0.000027
-96.440882,0.000027
-96.438600,0.000027
-96.436319,0.000027
-96.434038,0.000027
-96.431757,0.000027
-96.429475,0.000027
-96.427194,0.000027
-96.424913,0.000027
-96.422632,0.000027
-96.420350,0.000027
-96.418069,0.000027
-96.415788,0.000027
-96.413507,0.000027
-96.411225,0.000027
-96.408944,0.000027
-96.406663,0.000027
-96.404382,0.000027
-96.402100,0.000027
-96.399819,0.000027
-96.397538,0.000027
-96.395257,0.000027
-96.392975,0.000027
-96.390694,0.000027
-96.388413,0.000027
-96.386131,0.000027
-96.383850,0.000027
-96.381569,0.000027
-96.379288,0.000027
-96.377006,0.000027
-96.374725,0.000027
-96.372444,0.000027
-96.370163,0.000027
-96.367881,0.000027
-96.365600,0.000027
-96.363319,0.000027
-96.361038,0.000027
-96.358756,0.000027
-96.356475,0.000027
-96.354194,0.000027
-96.351913,0.000027
-96.349631,0.000027
-96.347350,0.000027
-96.345069,0.000027
-96.342788,0.000027
-96.340506,0.000027
-96.338225,0.000027
-96.335944,0.000027
-96.333663,0.000027
-96.331381,0.000027
-96.329100,0.000027
-96.326819,0.000027
-96.324538,0.000027
-96.322256,0.000027
-96.319975,0.000027
-96.317694,0.000027
-96.315413,0.000027
-96.313131,0.000027
-96.310850,0.000027
-96.308569,0.000027
-96.306288,0.000027
-96.304006,0.000027
-96.301725,0.000027
-96.299444,0.000027
-96.297163,0.000027
-96.294881,0.000027
-96.292600,0.000027
-96.290319,0.000027
-96.288038,0.000027
-96.285756,0.000027
-96.283475,0.000027
-96.281194,0.000027
-96.278912,0.000027
-96.276631,0.000027
-96.274350,0.000027
-96.272069,0.000027
-96.269787,0.000027
-96.267506,0.000027
-96.265225,0.000027
-96.262944,0.000027
-96.260662,0.000027
-96.258381,0.000027
-96.256100,0.000027
-96.253819,0.000027
-96.251537,0.000027
-96.249256,0.000027
-96.246975,0.000027
-96.244694,0.000027
-96.242412,0.000027
-96.240131,0.000027
-96.237850,0.000027
-96.235569,0.000027
-96.233287,0.000027
-96.231006,0.000027
-96.228725,0.000027
-96.226444,0.000027
-96.224162,0.000027
-96.221881,0.000027
-96.219600,0.000027
-96.217319,0.000027
-96.215037,0.000027
-96.212756,0.000027
-96.210475,0.000027
-96.208194,0.000027
-96.205912,0.000027
-96.203631,0.000027
-96.201350,0.000027
-96.199069,0.000027
-96.196787,0.000027
-96.194506,0.000027
-96.192225,0.000027
-96.189944,0.000027
-96.187662,0.000027
-96.185381,0.000027
-96.183100,0.000027
-96.180819,0.000027
-96.178537,0.000027
-96.176256,0.000027
-96.173975,0.000027
-96.171694,0.000027
-96.169412,0.000027
-96.167131,0.000027
-96.164850,0.000027
-96.162568,0.000027
-96.160287,0.000027
-96.158006,0.000027
-96.155725,0.000027
-96.153443,0.000027
-96.151162,0.000027
-96.148881,0.000027
-96.146600,0.000027
-96.144318,0.000027
-96.142037,0.000027
-96.139756,0.000027
-96.137475,0.000027
-96.135193,0.000027
-96.132912,0.000027
-96.130631,0.000027
-96.128350,0.000027
-96.126068,0.000027
-96.123787,0.000027
-96.121506,0.000027
-96.119225,0.000027
-96.116943,0.000027
-96.114662,0.000027
-96.112381,0.000027
-96.110100,0.000027
-96.107818,0.000027
-96.105537,0.000027
-96.103256,0.000027
-96.100975,0.000027
-96.098693,0.000027
-96.096412,0.000027
-96.094131,0.000027
-96.091850,0.000027
-96.089568,0.000027
-96.087287,0.000027
-96.085006,0.000027
-96.082725,0.000027
-96.080443,0.000027
-96.078162,0.000027
-96.075881,0.000027
-96.073600,0.000027
-96.071318,0.000027
-96.069037,0.000027
-96.066756,0.000028
-96.064475,0.000028
-96.062193,0.000028
-96.059912,0.000028
-96.057631,0.000028
-96.055350,0.000028
-96.053068,0.000028
-96.050787,0.000028
-96.048506,0.000028
-96.046224,0.000028
-96.043943,0.000028
-96.041662,0.000028
-96.039381,0.000028
-96.037099,0.000028
-96.034818,0.000028
-96.032537,0.000028
-96.030256,0.000028
-96.027974,0.000028
-96.025693,0.000028
-96.023412,0.000028
-96.021131,0.000028
-96.018849,0.000028
-96.016568,0.000028
-96.014287,0.000028
-96.012006,0.000028
-96.009724,0.000028
-96.007443,0.000028
-96.005162,0.000028
-96.002881,0.000028
-96.000599,0.000028
-95.998318,0.000028
-95.996037,0.000028
-95.993756,0.000028
-95.991474,0.000028
-95.989193,0.000028
-95.986912,0.000028
-95.984631,0.000028
-95.982349,0.000028
-95.980068,0.000028
-95.977787,0.000028
-95.975506,0.000028
-95.973224,0.000028
-95.970943,0.000028
-95.968662,0.000028
-95.966381,0.000028
-95.964099,0.000028
-95.961818,0.000028
-95.959537,0.000028
-95.957256,0.000028
-95.954974,0.000028
-95.952693,0.000028
-95.950412,0.000028
-95.948131,0.000028
-95.945849,0.000028
-95.943568,0.000028
-95.941287,0.000028
-95.939005,0.000028
-95.936724,0.000028
-95.934443,0.000028
-95.932162,0.000028
-95.929880,0.000028
-95.927599,0.000028
-95.925318,0.000028
-95.923037,0.000028
-95.920755,0.000028
-95.918474,0.000028
-95.916193,0.000028
-95.913912,0.000028
-95.911630,0.000028
-95.909349,0.000028
-95.907068,0.000028
-95.904787,0.000028
-95.902505,0.000028
-95.900224,0.000028
-95.897943,0.000028
-95.895662,0.000028
-95.893380,0.000028
-95.891099,0.000028
-95.888818,0.000028
-95.886537,0.000028
-95.884255,0.000028
-95.881974,0.000028
-95.879693,0.000028
-95.877412,0.000028
-95.875130,0.000028
-95.872849,0.000028
-95.870568,0.000028
-95.868287,0.000028
-95.866005,0.000028
-95.863724,0.000028
-95.861443,0.000028
-95.859162,0.000028
-95.856880,0.000028
-95.854599,0.000028
-95.852318,0.000028
-95.850037,0.000028
-95.847755,0.000028
-95.845474,0.000028
-95.843193,0.000028
-95.840912,0.000028
-95.838630,0.000028
-95.836349,0.000028
-95.834068,0.000028
-95.831787,0.000028
-95.829505,0.000028
-95.827224,0.000028
-95.824943,0.000028
-95.822661,0.000028
-95.820380,0.000028
-95.818099,0.000028
-95.815818,0.000028
-95.813536,0.000028
-95.811255,0.000028
-95.808974,0.000028
-95.806693,0.000028
-95.804411,0.000028
-95.802130,0.000028
-95.799849,0.000028
-95.797568,0.000028
-95.795286,0.000028
-95.793005,0.000028
-95.790724,0.000028
-95.788443,0.000028
-95.786161,0.000028
-95.783880,0.000028
