# This file was generated with simple_pnmr v0.0.0 at 14:39:35 21-08-2024 
# Shifts are averaged by chem_label

atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
H1,H1,5.33048,5.46925,6.16159,947.14028,506.33138,0.10065,1344.77078,-1008.73745,-0.20130,502.40607,0.00000,0.00000,0.00000,0.00000,1
H2,H2,7.21311,5.46958,5.43644,1232.78204,-212.10091,1134.51510,-450.20281,1388.11693,-463.08587,-1176.01602,0.00000,0.00000,0.00000,0.00000,1
H3,H3,3.46034,5.46899,6.89202,49.61994,-1.00649,-0.10065,140.70725,-286.95019,-0.20130,287.95668,0.00000,0.00000,0.00000,0.00000,1
H4,H4,5.08917,5.46977,3.82444,984.81654,-845.31708,0.20130,-168.28506,-1026.18327,-1.00649,1871.50035,0.00000,0.00000,0.00000,0.00000,1
H5,H5,6.69567,5.46897,8.04983,46.06367,-12.44692,0.10065,128.32743,-285.91015,0.30195,298.35707,0.00000,0.00000,0.00000,0.00000,1
H6,H6,4.91916,7.55854,6.31496,364.24859,2.31493,0.10065,329.22275,-321.87538,0.20130,319.56045,0.00000,0.00000,0.00000,0.00000,1
H7,H7,4.92043,3.38030,6.31429,339.42185,-201.73407,49.21734,-69.14584,554.24028,-26.67197,-352.50621,0.00000,0.00000,0.00000,0.00000,1
H8,H8,7.42938,5.46969,4.12744,617.38073,103.16519,-453.52422,-181.97332,191.33368,175.93439,-294.49886,0.00000,0.00000,0.00000,0.00000,1
H9,H9,8.24495,5.46958,6.27091,373.47475,-188.07936,-0.10065,120.17486,-325.36454,-0.40260,513.44390,0.00000,0.00000,0.00000,0.00000,1
H10,H10,7.99527,5.46907,7.68432,54.71949,-88.73883,-167.88247,-58.87964,307.61678,62.50301,-218.87794,0.00000,0.00000,0.00000,0.00000,1
H11,H11,6.30443,5.46947,3.23611,578.12764,374.61544,364.65119,-294.29756,-124.40212,-144.63256,-250.21332,0.00000,0.00000,0.00000,0.00000,1
H12,H12,6.52667,5.46868,1.84611,617.48138,102.76259,453.62487,-181.87267,191.83692,-175.93439,-294.59951,0.00000,0.00000,0.00000,0.00000,1
H13,H13,9.08299,5.46853,8.57743,1233.95627,-210.35633,-1135.62224,-451.00800,1386.54010,463.58912,-1176.18377,0.00000,0.00000,0.00000,0.00000,1
H14,H14,2.86341,4.29735,7.13127,60.02033,318.21847,0.10065,-223.84329,-164.29266,-0.10065,-153.92581,0.00000,0.00000,0.00000,0.00000,1
H15,H15,4.02356,5.46917,3.03820,339.52250,-201.63342,-49.61994,-69.24649,554.24028,26.77262,-352.60686,0.00000,0.00000,0.00000,0.00000,1
H16,H16,3.05513,5.46954,3.52264,578.59733,374.95093,-364.34924,-294.29756,-124.77116,144.53191,-250.17977,0.00000,0.00000,0.00000,0.00000,1
