#This file was generated with SimpNMR v0.0.0 at 12:25:43 03-11-2025 
Temperature (K),chi_iso (Å^3),chi_iso-s-dev (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),chi_ax (Å^3),chi_ax-s-dev (Å^3),chi_rho (Å^3),alpha (degrees),beta (degrees),gamma (degrees),r2 (),r2_adjusted (),MAE (ppm),RMSE (ppm)
254.59000,0.07023,0.00334,0.15412,0.00000,0.00000,0.15412,0.00000,-0.09755,0.08389,0.00000,0.00000,0.08389,0.00000,-0.16779,-0.09755,0.15412,0.15412,-0.25168,0.04757,0.00000,180.00000,90.00000,-0.00000,0.98992,0.98971,22.31075,45.19541
259.89000,0.06883,0.00328,0.15103,0.00000,0.00000,0.15103,0.00000,-0.09558,0.08220,0.00000,0.00000,0.08220,0.00000,-0.16441,-0.09558,0.15103,0.15103,-0.24661,0.04658,0.00000,180.00000,90.00000,-0.00000,0.98994,0.98973,21.88423,44.25591
275.78000,0.06489,0.00308,0.14225,0.00000,0.00000,0.14225,0.00000,-0.08984,0.07736,0.00000,0.00000,0.07736,0.00000,-0.15473,-0.08984,0.14225,0.14225,-0.23209,0.04377,0.00000,180.00000,90.00000,-0.00000,0.99001,0.98981,20.57226,41.57856
286.38000,0.06251,0.00295,0.13687,0.00000,0.00000,0.13687,0.00000,-0.08620,0.07436,0.00000,0.00000,0.07436,0.00000,-0.14871,-0.08620,0.13687,0.13687,-0.22307,0.04202,0.00000,180.00000,90.00000,-0.00000,0.99009,0.98989,19.76668,39.91957
297.17000,0.06024,0.00285,0.13214,0.00000,0.00000,0.13214,0.00000,-0.08357,0.07190,0.00000,0.00000,0.07190,0.00000,-0.14381,-0.08357,0.13214,0.13214,-0.21571,0.04057,0.00000,180.00000,90.00000,-0.00000,0.99004,0.98984,19.10377,38.53755
302.77000,0.05927,0.00280,0.12986,0.00000,0.00000,0.12986,0.00000,-0.08191,0.07059,0.00000,0.00000,0.07059,0.00000,-0.14118,-0.08191,0.12986,0.12986,-0.21177,0.03977,0.00000,180.00000,90.00000,-0.00000,0.99012,0.98992,18.73028,37.78319
307.90000,0.05822,0.00274,0.12747,0.00000,0.00000,0.12747,0.00000,-0.08027,0.06924,0.00000,0.00000,0.06924,0.00000,-0.13849,-0.08027,0.12747,0.12747,-0.20773,0.03902,0.00000,180.00000,90.00000,-0.00000,0.99015,0.98995,18.39077,37.07391
318.30000,0.05630,0.00265,0.12332,0.00000,0.00000,0.12332,0.00000,-0.07774,0.06702,0.00000,0.00000,0.06702,0.00000,-0.13404,-0.07774,0.12332,0.12332,-0.20106,0.03770,0.00000,180.00000,90.00000,-0.00000,0.99016,0.98996,17.77699,35.81759
328.68000,0.05456,0.00257,0.11974,0.00000,0.00000,0.11974,0.00000,-0.07580,0.06518,0.00000,0.00000,0.06518,0.00000,-0.13036,-0.07580,0.11974,0.11974,-0.19555,0.03652,0.00000,180.00000,90.00000,-0.00000,0.99015,0.98995,17.22949,34.69641
338.97000,0.05280,0.00249,0.11611,0.00000,0.00000,0.11611,0.00000,-0.07380,0.06330,0.00000,0.00000,0.06330,0.00000,-0.12661,-0.07380,0.11611,0.11611,-0.18991,0.03544,0.00000,180.00000,90.00000,-0.00000,0.99008,0.98987,16.72742,33.67271
