# This file was generated with SimpNMR v1.4.0 at 13:43:57 25-02-2026 
# Hyperfines from file /Users/ernestborysenko/git/simpnmr/examples/fitting/fit_susc/ni_0_cpcm_tpssh.out
Diamagnetic shifts from file /Users/ernestborysenko/git/simpnmr/examples/fitting/fit_susc/dia.csv
T = 298.15 K
atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),dA_xx (ppm Å^-3),dA_xy (ppm Å^-3),dA_xz (ppm Å^-3),dA_yy (ppm Å^-3),dA_yz (ppm Å^-3),dA_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (ppm)
H1,tphz1,3.055128,5.469544,3.522643,947.140283,506.331379,0.100649,1344.770783,-1008.737448,-0.201298,502.406069,102.778719,106.831274,9.360000,101.936085,-4.464811,1.000000
H2,tpy1,6.704207,8.305017,5.606696,1232.782038,-212.100913,1134.515101,-450.202808,1388.116936,-463.085875,-1176.016023,151.841602,151.779398,8.650000,132.678312,10.451086,1.000000
H3,tphz3,9.521444,5.467478,10.702913,49.619938,-1.006490,-0.100649,140.707249,-286.950191,-0.201298,287.956681,11.044491,11.281322,8.500000,5.340352,-2.559030,1.000000
H4,tphz1,5.373073,5.468125,9.624653,984.816545,-845.317083,0.201298,-168.285065,-1026.183268,-1.006490,1871.500352,102.778719,98.719241,9.360000,105.990997,-16.631756,1.000000
H5,tphz3,5.446768,5.467124,-0.034568,46.063675,-12.446922,0.100649,128.327427,-285.910152,0.301947,298.357073,11.044491,10.806152,8.500000,4.957608,-2.651457,1.000000
H6,tphz2,3.229620,5.467695,1.041352,364.248594,2.314926,0.100649,329.222755,-321.875381,0.201298,319.560455,44.047386,44.412410,8.050000,39.202298,-2.839888,1.000000
H7,tpy2,6.042875,10.683309,5.848001,339.421850,-201.734070,49.217342,-69.145837,554.240285,-26.671975,-352.506215,47.848852,47.842989,8.180000,36.530317,3.132672,1.000000
H8,tpy4,2.258730,9.338538,7.353909,617.380734,103.165186,-453.524223,-181.973324,191.333677,175.934386,-294.498863,76.970438,76.962844,7.900000,66.445674,2.617169,1.000000
H9,tphz2,7.148500,5.466846,11.365998,373.474749,-188.079361,-0.100649,120.174861,-325.364545,-0.402596,513.443906,44.047386,43.682361,8.050000,40.195264,-4.562902,1.000000
H10,tpy3,3.761260,11.206362,6.745627,54.719486,-88.738835,-167.882469,-58.879643,307.616778,62.503005,-218.877943,15.142900,15.134328,7.300000,5.889191,1.945137,1.000000
H11,tpy5,1.071747,3.327187,7.851663,578.127639,374.615437,364.651190,-294.297565,-124.402117,-144.632559,-250.213320,73.323477,73.294665,8.850000,62.221055,2.223610,1.000000
H12,tpy4,2.260924,1.598863,7.353062,617.481383,102.762590,453.624872,-181.872675,191.836922,-175.934386,-294.599512,76.970438,76.974570,7.900000,66.456507,2.618064,1.000000
H13,tpy1,6.705833,2.634691,5.605930,1233.956276,-210.356331,-1135.622240,-451.007999,1386.540103,463.589120,-1176.183772,151.841602,151.907267,8.650000,132.804690,10.452577,1.000000
H14,tpy6,-0.073297,5.467714,8.311545,60.020331,318.218469,0.100649,-223.843292,-164.292656,-0.100649,-153.925813,16.679566,16.677612,8.850000,6.459695,1.367917,1.000000
H15,tpy2,6.045920,0.256167,5.847396,339.522499,-201.633421,-49.619938,-69.246486,554.240285,26.772624,-352.606864,47.848852,47.854716,8.180000,36.541149,3.133567,1.000000
H16,tpy5,1.070229,7.608980,7.852064,578.597334,374.950934,-364.349243,-294.297565,-124.771163,144.531910,-250.179770,73.323477,73.344918,8.850000,62.271606,2.223312,1.000000
H17,tpy3,3.764457,-0.268271,6.744674,54.920784,-88.839484,167.681171,-58.879643,307.818076,-62.503005,-218.978592,15.142900,15.156887,7.300000,5.910856,1.946031,1.000000
H18,tphz1,13.929439,5.469521,6.377892,947.173833,506.297829,-0.100649,1344.770783,-1008.770998,0.201298,502.473169,102.778719,106.834288,9.360000,101.939695,-4.465407,1.000000
H19,tphz3,7.463137,5.467467,-0.802362,49.687038,-0.972940,0.100649,140.707249,-287.017290,0.201298,287.990230,11.044491,11.288245,8.500000,5.347573,-2.559328,1.000000
H20,tphz1,11.611504,5.468103,0.275909,984.917194,-845.317083,-0.201298,-168.285065,-1026.183268,1.006490,1871.500352,102.778719,98.730073,9.360000,106.001829,-16.631756,1.000000
H21,tphz3,11.537811,5.467148,9.935110,46.030125,-12.413372,-0.100649,128.327427,-285.977251,-0.301947,298.390623,11.044491,10.802243,8.500000,4.953998,-2.651755,1.000000
H22,tphz2,13.754957,5.467698,8.859182,364.248594,2.314926,-0.100649,329.222755,-321.875381,-0.201298,319.560455,44.047386,44.412410,8.050000,39.202298,-2.839888,1.000000
H23,tphz2,9.836082,5.466830,-1.465440,373.474749,-188.079361,0.100649,120.174861,-325.364545,0.402596,513.443906,44.047386,43.682361,8.050000,40.195264,-4.562902,1.000000
H24,tpy1,10.280341,8.305009,4.293851,1232.714939,-212.033814,-1134.515101,-450.202808,1388.083387,462.985226,-1176.049573,151.841602,151.772475,8.650000,132.671091,10.451384,1.000000
H25,tpy2,10.941669,10.683303,4.052540,339.421850,-201.734070,-49.217342,-69.145837,554.240285,26.671975,-352.506215,47.848852,47.842989,8.180000,36.530317,3.132672,1.000000
