#This file was generated with SimpNMR v1.2.1 at 18:23:35 04-12-2025 
#r2: -0.064161
#initial_guess: [3e-11]
#fitted_tau_E (s): 2.06690e-12
#covariance_shape: (1, 1)
#covariance_flat: [2.8762432472838e-24]
xdata,chem_label,R1_exp (s^-1)
0,C1,5.20000e+00
1,C11,4.37000e+01
2,C8,3.00000e+00
3,C7,1.70000e+00
4,C6,8.85000e+01
5,C5,2.12000e+01
6,C4,8.50000e+00
7,C3,8.30000e+00
8,C2,9.50000e+00
9,C1,5.29000e+01
10,H4,3.50000e+00
11,H2,6.20000e+00
12,C11,6.10000e+00
13,C8,1.20000e+00
14,C7,2.00000e-01
15,C6,1.09000e+01
16,C5,2.60000e+00
17,C4,2.30000e+00
18,C3,2.80000e+00
19,C2,2.30000e+00
20,H2,4.85000e+01
21,H4,2.86000e+01
