#This file was generated with SimpNMR v1.2.1 on 18:23:35 04-12-2025 
# Data taken from file /Users/ernestborysenko/git/simpnmr/examples/fitting/fit_susc_corr_time/FeH/DATA/Q_CHEM/FeH_opt_Cs_HFC_TPSSH_def2TZVP.out
atom_label, Aiso (MHz), Adip_xx (MHz), Adip_xy (MHz), Adip_xz (MHz), Adip_yy (MHz), Adip_yz (MHz), Adip_zz (MHz)
Fe1, 47.53634, 1.50239, 0.00000, -0.48146, -27.68000, 0.00000, 26.17811
P1, -54.07413, 4.25716, -2.12436, -0.36795, -8.39700, -0.90016, 4.13984
P2, -54.07413, 4.25716, 2.12436, -0.36795, -8.39700, 0.90016, 4.13984
N1, -3.11381, 0.22852, 0.00000, -0.32552, -0.85300, 0.00000, 0.62448
C1, -1.49552, 1.08663, 0.68218, 0.20954, -0.41047, 0.02139, -0.67616
C2, 0.21308, 0.14764, 0.59120, -0.24860, -0.02282, 0.15480, -0.12532
C3, -0.32301, 0.07910, 0.24025, 0.15357, 0.13321, 0.07756, -0.21182
C4, 0.31183, 0.05383, 0.13148, -0.34015, -0.31742, 0.06464, 0.26359
C5, -0.35172, 0.17700, 0.11392, 0.24790, 0.03307, 0.02679, -0.21007
C6, -0.03938, 0.46505, 0.13037, -0.23658, -0.50061, 0.08739, 0.03556
C7, -0.03938, 0.46505, -0.13037, -0.23658, -0.50061, -0.08739, 0.03556
C8, -0.35172, 0.17700, -0.11392, 0.24790, 0.03307, -0.02679, -0.21007
C9, 0.31183, 0.05383, -0.13148, -0.34015, -0.31742, -0.06464, 0.26359
C10, -0.32301, 0.07910, -0.24025, 0.15357, 0.13321, -0.07756, -0.21182
C11, 0.21308, 0.14764, -0.59120, -0.24860, -0.02282, -0.15480, -0.12532
C12, -1.49552, 1.08663, -0.68218, 0.20954, -0.41047, -0.02139, -0.67616
C13, -3.60459, -0.62659, -0.17713, 0.09215, 0.83655, 0.04047, -0.20996
C14, -3.60459, -0.62659, 0.17713, 0.09215, 0.83655, -0.04047, -0.20996
