#temperature 300
#larmor 400
#isotope 1H
assignment (),shift (ppm),width (Hz),area ()
c2ax, -76.3, 68.1, 1
apax, -64, 78.4, 1
a3ax, -49.82, 74.7, 1
c8ax, -40.34, 72.9, 1
a1ax, -38.54, 84.6, 1
a2ax, -30.11, 33.4, 1
a1eq, -28.59, 39.4, 1
apeq, -28.19, 42.4,1
a3eq, -26.86, 38.2, 1
c1eq, -18.46, 38.8, 1
c8eq, -14.26, 32.9, 1
c2eq, -13.68, 43, 1
c7eq, 2.065, 44.1, 1
c6ax, 4.712, 20.5, 1
py3, 6.269, 23.4, 1
a2eq, 12.14, 40.7, 1
c5ax, 115.8, 141, 1
py4, 19.121, 19.8, 1
c6eq, 21.231, 51.4, 1
c3eq, 27.206, 42.9, 1
c4ax, 33.576, 82.7, 1
c1ax, 36.449, 110.4,1
c5eq, 50.179, 43.1, 1
c4eq, 51.067, 50, 1
c7ax, 54.333, 103, 1
c3ax, 85.743, 107.7, 1
py6, 115.8, 141.3, 1
Me1, -9.4, 1, 1
Me2, -26.3, 1, 1
Me3, -9.4, 1, 1
tBu, 16.3, 1, 1
