atom_label, chem_label, chem_math_label
H7, H_tpy6, $\mathregular{\mathbf{H}\ tpy_6}$
H28, H_tpy6, $\mathregular{\mathbf{H}\ tpy_6}$
H2, H_tpy5, $\mathregular{\mathbf{H}\ tpy_5}$
H10, H_tpy5, $\mathregular{\mathbf{H}\ tpy_5}$
H24, H_tpy5, $\mathregular{\mathbf{H}\ tpy_5}$
H30, H_tpy5, $\mathregular{\mathbf{H}\ tpy_5}$
H25, H_tpy4, $\mathregular{\mathbf{H}\ tpy_4}$
H31, H_tpy4, $\mathregular{\mathbf{H}\ tpy_4}$
H3, H_tpy4, $\mathregular{\mathbf{H}\ tpy_4}$
H14, H_tpy4, $\mathregular{\mathbf{H}\ tpy_4}$
H26, H_tpy3, $\mathregular{\mathbf{H}\ tpy_3}$
H34, H_tpy3, $\mathregular{\mathbf{H}\ tpy_3}$
H4, H_tpy3, $\mathregular{\mathbf{H}\ tpy_3}$
H17, H_tpy3, $\mathregular{\mathbf{H}\ tpy_3}$
H8, H_tpy2, $\mathregular{\mathbf{H}\ tpy_2}$
H16, H_tpy2, $\mathregular{\mathbf{H}\ tpy_2}$
H29, H_tpy2, $\mathregular{\mathbf{H}\ tpy_2}$
H33, H_tpy2, $\mathregular{\mathbf{H}\ tpy_2}$
H27, H_tpy1, $\mathregular{\mathbf{H}\ tpy_1}$
H32, H_tpy1, $\mathregular{\mathbf{H}\ tpy_1}$
H5, H_tpy1, $\mathregular{\mathbf{H}\ tpy_1}$ 
H15, H_tpy1, $\mathregular{\mathbf{H}\ tpy_1}$
H9, H_tphz1, $\mathregular{\mathbf{H}\ tphz}_1$
H11, H_tphz1, $\mathregular{\mathbf{H}\ tphz}_1$
H20, H_tphz1, $\mathregular{\mathbf{H}\ tphz}_1$
H21, H_tphz1, $\mathregular{\mathbf{H}\ tphz}_1$
H12, H_tphz2, $\mathregular{\mathbf{H}\ tphz}_2$
H13, H_tphz2, $\mathregular{\mathbf{H}\ tphz}_2$
H22, H_tphz2, $\mathregular{\mathbf{H}\ tphz}_2$
H23, H_tphz2, $\mathregular{\mathbf{H}\ tphz}_2$
H1, H_tphz3, $\mathregular{\mathbf{H}\ tphz}_3$
H6, H_tphz3, $\mathregular{\mathbf{H}\ tphz}_3$
H18, H_tphz3, $\mathregular{\mathbf{H}\ tphz}_3$
H19, H_tphz3, $\mathregular{\mathbf{H}\ tphz}_3$
C1, C_tphz4, $\mathregular{\mathbf{C}\ tphz_4}$
C2, C_tphz6, $\mathregular{\mathbf{C}\ tphz_6}$
C3, C_tphz5, $\mathregular{\mathbf{C}\ tphz_5}$
C4, C_tpy6, $\mathregular{\mathbf{C}\ tpy_6}$
C5, C_tphz3, $\mathregular{\mathbf{C}\ tphz_3}$
C6, C_tphz4, $\mathregular{\mathbf{C}\ tphz_4}$
C7, C_tphz5, $\mathregular{\mathbf{C}\ tphz_5}$
C8, C_tpy5, $\mathregular{\mathbf{C}\ tpy_5}$
C9, C_tpy7, $\mathregular{\mathbf{C}\ tpy_7}$
C10, C_tpy6, $\mathregular{\mathbf{C}\ tpy_6}$
C11, C_tpy4, $\mathregular{\mathbf{C}\ tpy_4}$
C12, C_tpy3, $\mathregular{\mathbf{C}\ tpy_3}$
C13, C_tpy1, $\mathregular{\mathbf{C}\ tpy_1}$
C14, C_tphz3, $\mathregular{\mathbf{C}\ tphz_3}$
C15, C_tpy8, $\mathregular{\mathbf{C}\ tpy_8}$
C16, C_tpy2, $\mathregular{\mathbf{C}\ tpy_2}$
C17, C_tphz6, $\mathregular{\mathbf{C}\ tphz_6}$
C18, C_tphz1, $\mathregular{\mathbf{C}\ tphz_1}$
C19, C_tpy7, $\mathregular{\mathbf{C}\ tpy_7}$
C20, C_tphz1, $\mathregular{\mathbf{C}\ tphz_1}$
C21, C_tpy5, $\mathregular{\mathbf{C}\ tpy_5}$
C22, C_tphz2, $\mathregular{\mathbf{C}\ tphz_2}$
C23, C_tphz2, $\mathregular{\mathbf{C}\ tphz_2}$
C24, C_tpy4, $\mathregular{\mathbf{C}\ tpy_4}$
C25, C_tpy1, $\mathregular{\mathbf{C}\ tpy_1}$
C26, C_tpy2, $\mathregular{\mathbf{C}\ tpy_2}$
C27, C_tpy3, $\mathregular{\mathbf{C}\ tpy_3}$
C28, C_tphz4, $\mathregular{\mathbf{C}\ tphz_4}$
C29, C_tphz6, $\mathregular{\mathbf{C}\ tphz_6}$
C30, C_tphz5, $\mathregular{\mathbf{C}\ tphz_5}$
C31, C_tphz3, $\mathregular{\mathbf{C}\ tphz_3}$
C32, C_tphz4, $\mathregular{\mathbf{C}\ tphz_4}$
C33, C_tphz5, $\mathregular{\mathbf{C}\ tphz_5}$
C34, C_tphz3, $\mathregular{\mathbf{C}\ tphz_3}$
C35, C_tphz6, $\mathregular{\mathbf{C}\ tphz_6}$
C36, C_tphz1, $\mathregular{\mathbf{C}\ tphz_1}$
C37, C_tphz1, $\mathregular{\mathbf{C}\ tphz_1}$
C38, C_tphz2, $\mathregular{\mathbf{C}\ tphz_2}$
C39, C_tphz2, $\mathregular{\mathbf{C}\ tphz_2}$
C40, C_tpy6, $\mathregular{\mathbf{C}\ tpy_6}$
C41, C_tpy5, $\mathregular{\mathbf{C}\ tpy_5}$
C42, C_tpy7, $\mathregular{\mathbf{C}\ tpy_7}$
C43, C_tpy6, $\mathregular{\mathbf{C}\ tpy_6}$
C44, C_tpy4, $\mathregular{\mathbf{C}\ tpy_4}$
C45, C_tpy3, $\mathregular{\mathbf{C}\ tpy_3}$
C46, C_tpy1, $\mathregular{\mathbf{C}\ tpy_1}$
C47, C_tpy8, $\mathregular{\mathbf{C}\ tpy_8}$
C48, C_tpy2, $\mathregular{\mathbf{C}\ tpy_2}$
C49, C_tpy7, $\mathregular{\mathbf{C}\ tpy_7}$
C50, C_tpy5, $\mathregular{\mathbf{C}\ tpy_5}$
C51, C_tpy4, $\mathregular{\mathbf{C}\ tpy_4}$
C52, C_tpy1, $\mathregular{\mathbf{C}\ tpy_1}$
C53, C_tpy2, $\mathregular{\mathbf{C}\ tpy_2}$
C54, C_tpy3, $\mathregular{\mathbf{C}\ tpy_3}$
