# This file was generated with SimpNMR v0.0.0 at 19:00:38 03-11-2025 
# Hyperfines from file /Users/jamiewhipham/Desktop/SIMPNMR/simple_pnmr/examples/tBuPNPFeH/DATA/HFC/FeH_opt_Cs_HFC_B3LYP_EPRII.out
# Diamagnetic shifts from file /Users/jamiewhipham/Desktop/SIMPNMR/simple_pnmr/examples/tBuPNPFeH/DATA/DIA/Fe_H_dia.csv
# T = 338.97 K
atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
C1,C6,-2.77544,-1.10878,-0.63527,-5219.57971,4283.53049,2762.15846,857.79817,-1705.83612,188.74187,-2577.69438,-83.95821,-83.95821,156.60000,-317.94574,77.38752,1
C2,C1,-2.56495,-2.48524,-0.41042,745.67140,620.37064,2411.91868,-666.40805,154.24428,588.37241,-774.61492,183.52215,183.52215,125.70000,45.42186,12.40028,1
C3,C2,-3.48090,-3.38823,-0.95139,-1130.66616,320.96814,961.77597,521.59132,465.50393,309.04326,-786.47207,59.49256,59.49256,127.00000,-68.87345,1.36601,1
C4,C3,-4.61526,-3.01363,-1.69840,1175.99418,252.04975,529.50029,-1017.03300,-1011.45985,250.61229,759.41010,229.38636,229.38636,145.00000,71.63457,12.75180,1
C5,C4,-4.83392,-1.65101,-1.87990,-1207.04882,700.53685,463.02812,896.90043,60.88570,120.13322,-761.42255,53.80603,53.80603,119.10000,-73.52623,8.23226,1
C6,C5,-3.93864,-0.71860,-1.35237,82.38549,1830.47384,522.41208,-631.23943,-1838.73544,321.83362,8.26161,180.42213,180.42213,133.50000,5.01843,41.90370,1
C7,C5,-3.93864,0.71860,-1.35237,82.38549,1830.47384,-522.41208,-631.23943,-1838.73544,-321.83362,8.26161,180.42213,180.42213,133.50000,5.01843,41.90370,1
C8,C4,-4.83392,1.65101,-1.87990,-1207.04882,700.53685,-463.02812,896.90043,60.88570,-120.13322,-761.42255,53.80603,53.80603,119.10000,-73.52623,8.23226,1
C9,C3,-4.61526,3.01363,-1.69840,1175.99418,252.04975,-529.50029,-1017.03300,-1011.45985,-250.61229,759.41010,229.38636,229.38636,145.00000,71.63457,12.75180,1
C10,C2,-3.48090,3.38823,-0.95139,-1130.66616,320.96814,-961.77597,521.59132,465.50393,-309.04326,-786.47207,59.49256,59.49256,127.00000,-68.87345,1.36601,1
C11,C1,-2.56495,2.48524,-0.41042,745.67140,620.37064,-2411.91868,-666.40805,154.24428,-588.37241,-774.61492,183.52215,183.52215,125.70000,45.42186,12.40028,1
C12,C6,-2.77544,1.10878,-0.63527,-5219.57971,4283.53049,-2762.15846,857.79817,-1705.83612,-188.74187,-2577.69438,-83.95821,-83.95821,156.60000,-317.94574,77.38752,1
C15,C7,-5.57650,-4.07112,-2.27313,-400.50874,149.90513,283.86911,137.90072,-7.87530,119.45395,-142.02984,17.06567,17.06567,39.40000,-24.39661,2.06227,1
C19,C7,-5.57650,4.07112,-2.27313,-400.50874,149.90513,-283.86911,137.90072,-7.87530,-119.45395,-142.02984,17.06567,17.06567,39.40000,-24.39661,2.06227,1
H2,H2,-3.30318,-4.44077,-0.76160,35.22043,-18.73468,638.92074,93.44631,438.74381,142.94930,-420.00914,6.98098,6.98098,7.50000,2.14542,-2.66444,1
H3,H4,-5.70112,-1.29706,-2.42497,28.66147,438.76039,211.37703,332.78561,-236.39117,90.04080,-202.36922,17.31919,17.31919,8.30000,1.74589,7.27330,1
H4,H4,-5.70112,1.29706,-2.42497,28.66147,438.76039,-211.37703,332.78561,-236.39117,-90.04080,-202.36922,17.31919,17.31919,8.30000,1.74589,7.27330,1
H5,H2,-3.30318,4.44077,-0.76160,35.22043,-18.73468,-638.92074,93.44631,438.74381,-142.94930,-420.00914,6.98098,6.98098,7.50000,2.14542,-2.66444,1
