#This file was generated with SimpNMR v0.0.1 at 12:35:21 10-11-2025 
Temperature (K),chi_iso (cm^3 mol^-1),chi_iso-s-dev (cm^3 mol^-1),chi_xx (cm^3 mol^-1),chi_xy (cm^3 mol^-1),chi_xz (cm^3 mol^-1),chi_yy (cm^3 mol^-1),chi_yz (cm^3 mol^-1),chi_zz (cm^3 mol^-1),dchi_xx (cm^3 mol^-1),dchi_xy (cm^3 mol^-1),dchi_xz (cm^3 mol^-1),dchi_yy (cm^3 mol^-1),dchi_yz (cm^3 mol^-1),dchi_zz (cm^3 mol^-1),chi_x (cm^3 mol^-1),chi_y (cm^3 mol^-1),chi_z (cm^3 mol^-1),chi_ax (cm^3 mol^-1),chi_rho (cm^3 mol^-1),alpha (degrees),beta (degrees),gamma (degrees),r2 (),r2_adjusted (),MAE (ppm),RMSE (ppm),chi_dxx-s-dev (cm^3 mol^-1),chi_dxz-s-dev (cm^3 mol^-1),chi_dyy-s-dev (cm^3 mol^-1)
217.93000,0.00414,0.00020,0.00730,0.00000,0.00019,0.00149,0.00000,0.00364,0.00315,0.00000,0.00019,-0.00265,0.00000,-0.00050,0.00149,0.00363,0.00731,0.00474,0.00107,180.00000,180.00000,-0.00000,0.99770,0.99699,5.24651,6.88379,0.00043,0.00043,0.00037
223.13000,0.00405,0.00019,0.00713,0.00000,0.00018,0.00146,0.00000,0.00355,0.00308,0.00000,0.00018,-0.00259,0.00000,-0.00050,0.00146,0.00354,0.00714,0.00464,0.00104,180.00000,180.00000,-0.00000,0.99771,0.99701,5.14919,6.70704,0.00042,0.00042,0.00036
228.35000,0.00396,0.00019,0.00699,0.00000,0.00018,0.00143,0.00000,0.00347,0.00303,0.00000,0.00018,-0.00253,0.00000,-0.00049,0.00143,0.00346,0.00700,0.00455,0.00102,180.00000,180.00000,-0.00000,0.99774,0.99705,5.02519,6.51183,0.00041,0.00041,0.00035
233.13000,0.00388,0.00018,0.00685,0.00000,0.00017,0.00140,0.00000,0.00338,0.00297,0.00000,0.00017,-0.00247,0.00000,-0.00049,0.00140,0.00338,0.00686,0.00447,0.00099,180.00000,180.00000,-0.00000,0.99775,0.99706,4.91787,6.35101,0.00040,0.00040,0.00034
238.91000,0.00380,0.00018,0.00671,0.00000,0.00017,0.00137,0.00000,0.00331,0.00291,0.00000,0.00017,-0.00242,0.00000,-0.00049,0.00137,0.00330,0.00672,0.00438,0.00096,-94.89986,180.00000,-178.56790,0.99778,0.99710,4.80621,6.17693,0.00038,0.00039,0.00034
244.09000,0.00372,0.00017,0.00658,0.00000,0.00016,0.00134,0.00000,0.00323,0.00286,0.00000,0.00016,-0.00237,0.00000,-0.00049,0.00134,0.00322,0.00659,0.00431,0.00094,180.00000,180.00000,-179.10483,0.99780,0.99713,4.70021,6.00872,0.00037,0.00038,0.00033
249.34000,0.00364,0.00017,0.00646,0.00000,0.00016,0.00131,0.00000,0.00316,0.00281,0.00000,0.00016,-0.00233,0.00000,-0.00049,0.00131,0.00315,0.00646,0.00423,0.00092,-94.96257,180.00000,-178.80651,0.99782,0.99715,4.60594,5.86039,0.00036,0.00037,0.00032
254.59000,0.00357,0.00017,0.00634,0.00000,0.00015,0.00129,0.00000,0.00308,0.00277,0.00000,0.00015,-0.00228,0.00000,-0.00049,0.00129,0.00308,0.00634,0.00416,0.00090,-95.03898,180.00000,-178.80651,0.99783,0.99716,4.51535,5.72177,0.00036,0.00036,0.00031
259.89000,0.00350,0.00016,0.00623,0.00000,0.00015,0.00126,0.00000,0.00301,0.00273,0.00000,0.00015,-0.00224,0.00000,-0.00049,0.00126,0.00301,0.00623,0.00410,0.00087,88.53015,180.00000,-0.00000,0.99784,0.99718,4.44377,5.59107,0.00035,0.00035,0.00030
265.16000,0.00343,0.00016,0.00612,0.00000,0.00015,0.00123,0.00000,0.00295,0.00268,0.00000,0.00015,-0.00220,0.00000,-0.00048,0.00123,0.00294,0.00613,0.00404,0.00085,180.00000,180.00000,-0.00000,0.99785,0.99719,4.35986,5.46373,0.00034,0.00035,0.00030
270.48000,0.00337,0.00015,0.00601,0.00000,0.00014,0.00121,0.00000,0.00288,0.00264,0.00000,0.00014,-0.00216,0.00000,-0.00048,0.00121,0.00288,0.00602,0.00398,0.00084,180.00000,180.00000,-0.00000,0.99786,0.99720,4.29089,5.34903,0.00033,0.00034,0.00029
