#This file was generated with SimpNMR v0.0.1 at 10:49:49 05-11-2025 
Temperature (K),chi_iso (cm^3 mol^-1),chi_iso-s-dev (cm^3 mol^-1),chi_xx (cm^3 mol^-1),chi_xy (cm^3 mol^-1),chi_xz (cm^3 mol^-1),chi_yy (cm^3 mol^-1),chi_yz (cm^3 mol^-1),chi_zz (cm^3 mol^-1),dchi_xx (cm^3 mol^-1),dchi_xy (cm^3 mol^-1),dchi_xz (cm^3 mol^-1),dchi_yy (cm^3 mol^-1),dchi_yz (cm^3 mol^-1),dchi_zz (cm^3 mol^-1),chi_x (cm^3 mol^-1),chi_y (cm^3 mol^-1),chi_z (cm^3 mol^-1),chi_ax (cm^3 mol^-1),chi_rho (cm^3 mol^-1),alpha (degrees),beta (degrees),gamma (degrees),r2 (),r2_adjusted (),MAE (ppm),RMSE (ppm),chi_dxx-s-dev (cm^3 mol^-1),chi_dxz-s-dev (cm^3 mol^-1),chi_dyy-s-dev (cm^3 mol^-1)
254.59000,0.00385,0.00013,0.00607,0.00000,-0.00034,0.00230,0.00000,0.00319,0.00222,0.00000,-0.00034,-0.00155,0.00000,-0.00067,0.00230,0.00315,0.00611,0.00339,0.00042,-85.50958,0.00000,-178.21009,0.99847,0.99800,4.02796,4.80804,0.00023,0.00034,0.00024
259.89000,0.00378,0.00013,0.00596,0.00000,-0.00034,0.00225,0.00000,0.00311,0.00219,0.00000,-0.00034,-0.00153,0.00000,-0.00066,0.00225,0.00308,0.00600,0.00334,0.00041,-82.50105,0.00000,-178.80651,0.99846,0.99799,3.96024,4.72358,0.00023,0.00034,0.00024
275.78000,0.00356,0.00012,0.00566,0.00000,-0.00033,0.00212,0.00000,0.00292,0.00209,0.00000,-0.00033,-0.00145,0.00000,-0.00065,0.00212,0.00288,0.00570,0.00320,0.00038,-82.33174,0.00000,-178.40886,0.99844,0.99796,3.75528,4.47186,0.00022,0.00032,0.00022
286.38000,0.00344,0.00012,0.00548,0.00000,-0.00031,0.00203,0.00000,0.00280,0.00204,0.00000,-0.00031,-0.00141,0.00000,-0.00064,0.00203,0.00276,0.00552,0.00312,0.00037,180.00000,0.00000,-0.00000,0.99845,0.99797,3.61166,4.30077,0.00021,0.00031,0.00022
297.17000,0.00332,0.00012,0.00531,0.00000,-0.00031,0.00195,0.00000,0.00269,0.00199,0.00000,-0.00031,-0.00136,0.00000,-0.00063,0.00195,0.00265,0.00535,0.00304,0.00035,95.53999,0.00000,1.78991,0.99843,0.99794,3.49962,4.16460,0.00020,0.00030,0.00021
302.77000,0.00326,0.00011,0.00524,0.00000,-0.00030,0.00191,0.00000,0.00264,0.00197,0.00000,-0.00030,-0.00135,0.00000,-0.00062,0.00191,0.00261,0.00527,0.00301,0.00035,95.46440,0.00000,1.78991,0.99842,0.99793,3.45078,4.10260,0.00020,0.00029,0.00021
307.90000,0.00321,0.00011,0.00516,0.00000,-0.00030,0.00187,0.00000,0.00259,0.00195,0.00000,-0.00030,-0.00134,0.00000,-0.00062,0.00187,0.00256,0.00520,0.00298,0.00034,-82.12133,0.00000,-178.40886,0.99840,0.99791,3.40319,4.05219,0.00020,0.00029,0.00020
318.30000,0.00311,0.00011,0.00502,0.00000,-0.00029,0.00180,0.00000,0.00250,0.00191,0.00000,-0.00029,-0.00130,0.00000,-0.00061,0.00180,0.00246,0.00505,0.00292,0.00033,-81.90639,0.00000,-178.56790,0.99838,0.99788,3.31400,3.94286,0.00019,0.00028,0.00020
328.68000,0.00301,0.00011,0.00490,0.00000,-0.00028,0.00174,0.00000,0.00240,0.00188,0.00000,-0.00028,-0.00128,0.00000,-0.00061,0.00174,0.00237,0.00493,0.00287,0.00032,-81.72454,0.00000,-178.56790,0.99836,0.99786,3.20734,3.82829,0.00018,0.00027,0.00019
338.97000,0.00292,0.00010,0.00477,0.00000,-0.00027,0.00167,0.00000,0.00232,0.00185,0.00000,-0.00027,-0.00125,0.00000,-0.00060,0.00167,0.00229,0.00480,0.00282,0.00031,180.00000,0.00000,-0.00000,0.99832,0.99781,3.13079,3.74482,0.00018,0.00027,0.00019
