#This file was generated with SimpNMR v0.0.1 at 15:40:28 04-11-2025 
Temperature (K),chi_iso (cm^3 mol^-1),chi_iso-s-dev (cm^3 mol^-1),chi_xx (cm^3 mol^-1),chi_xy (cm^3 mol^-1),chi_xz (cm^3 mol^-1),chi_yy (cm^3 mol^-1),chi_yz (cm^3 mol^-1),chi_zz (cm^3 mol^-1),dchi_xx (cm^3 mol^-1),dchi_xy (cm^3 mol^-1),dchi_xz (cm^3 mol^-1),dchi_yy (cm^3 mol^-1),dchi_yz (cm^3 mol^-1),dchi_zz (cm^3 mol^-1),chi_x (cm^3 mol^-1),chi_y (cm^3 mol^-1),chi_z (cm^3 mol^-1),chi_ax (cm^3 mol^-1),chi_ax-s-dev (cm^3 mol^-1),chi_rho (cm^3 mol^-1),alpha (degrees),beta (degrees),gamma (degrees),r2 (),r2_adjusted (),MAE (ppm),RMSE (ppm)
254.59000,0.00345,0.00036,0.00406,0.00000,0.00000,0.00406,0.00000,0.00225,0.00060,0.00000,0.00000,0.00060,0.00000,-0.00121,0.00225,0.00406,0.00406,-0.00181,0.00200,0.00000,180.00000,90.00000,-0.00000,0.98118,0.97867,13.24073,16.85425
259.89000,0.00339,0.00035,0.00398,0.00000,0.00000,0.00398,0.00000,0.00219,0.00060,0.00000,0.00000,0.00060,0.00000,-0.00119,0.00219,0.00398,0.00398,-0.00179,0.00196,0.00000,180.00000,90.00000,-0.00000,0.98101,0.97848,13.04443,16.58493
275.78000,0.00319,0.00034,0.00377,0.00000,0.00000,0.00377,0.00000,0.00204,0.00058,0.00000,0.00000,0.00058,0.00000,-0.00116,0.00204,0.00377,0.00377,-0.00173,0.00188,0.00000,180.00000,90.00000,-0.00000,0.98047,0.97787,12.49274,15.83556
286.38000,0.00308,0.00033,0.00364,0.00000,0.00000,0.00364,0.00000,0.00194,0.00057,0.00000,0.00000,0.00057,0.00000,-0.00113,0.00194,0.00364,0.00364,-0.00170,0.00182,0.00000,180.00000,90.00000,-0.00000,0.98005,0.97739,12.17141,15.40665
297.17000,0.00296,0.00032,0.00352,0.00000,0.00000,0.00352,0.00000,0.00185,0.00056,0.00000,0.00000,0.00056,0.00000,-0.00111,0.00185,0.00352,0.00352,-0.00167,0.00178,0.00000,180.00000,90.00000,-0.00000,0.97958,0.97686,11.85978,14.99951
302.77000,0.00291,0.00031,0.00346,0.00000,0.00000,0.00346,0.00000,0.00182,0.00055,0.00000,0.00000,0.00055,0.00000,-0.00110,0.00182,0.00346,0.00346,-0.00165,0.00176,0.00000,180.00000,90.00000,-0.00000,0.97933,0.97657,11.72663,14.83318
307.90000,0.00286,0.00031,0.00341,0.00000,0.00000,0.00341,0.00000,0.00177,0.00054,0.00000,0.00000,0.00054,0.00000,-0.00109,0.00177,0.00341,0.00341,-0.00163,0.00174,0.00000,180.00000,90.00000,-0.00000,0.97902,0.97623,11.61252,14.67814
318.30000,0.00277,0.00030,0.00330,0.00000,0.00000,0.00330,0.00000,0.00170,0.00054,0.00000,0.00000,0.00054,0.00000,-0.00107,0.00170,0.00330,0.00330,-0.00161,0.00170,0.00000,180.00000,90.00000,-0.00000,0.97852,0.97565,11.35319,14.34507
328.68000,0.00268,0.00030,0.00321,0.00000,0.00000,0.00321,0.00000,0.00162,0.00053,0.00000,0.00000,0.00053,0.00000,-0.00106,0.00162,0.00321,0.00321,-0.00159,0.00166,0.00000,180.00000,90.00000,-0.00000,0.97794,0.97500,11.12770,14.05123
338.97000,0.00259,0.00029,0.00311,0.00000,0.00000,0.00311,0.00000,0.00155,0.00052,0.00000,0.00000,0.00052,0.00000,-0.00104,0.00155,0.00311,0.00311,-0.00156,0.00163,0.00000,180.00000,90.00000,-0.00000,0.97728,0.97425,10.93405,13.79089
